,Season,GameNumber,TeamCode,roster,PlayerNumber,PlayerPosition,Rank
0,2010,20001,MTL,18.0,11.0,C,2
1,2010,20001,MTL,18.0,14.0,C,1
2,2010,20001,MTL,18.0,15.0,C,2
3,2010,20001,MTL,18.0,17.0,C,2
4,2010,20001,MTL,18.0,40.0,C,2
5,2010,20001,MTL,18.0,81.0,C,2
6,2010,20001,MTL,18.0,94.0,C,2
7,2010,20001,MTL,18.0,6.0,D,2
8,2010,20001,MTL,18.0,20.0,D,2
9,2010,20001,MTL,18.0,26.0,D,2
10,2010,20001,MTL,18.0,45.0,D,2
11,2010,20001,MTL,18.0,75.0,D,2
12,2010,20001,MTL,18.0,76.0,D,1
13,2010,20001,MTL,18.0,32.0,L,2
14,2010,20001,MTL,18.0,46.0,L,2
15,2010,20001,MTL,18.0,52.0,L,2
16,2010,20001,MTL,18.0,57.0,L,2
17,2010,20001,MTL,18.0,21.0,R,2
18,2010,20001,TOR,18.0,26.0,C,2
19,2010,20001,TOR,18.0,37.0,C,2
20,2010,20001,TOR,18.0,42.0,C,2
21,2010,20001,TOR,18.0,81.0,C,1
22,2010,20001,TOR,18.0,84.0,C,1
23,2010,20001,TOR,18.0,2.0,D,2
24,2010,20001,TOR,18.0,3.0,D,2
25,2010,20001,TOR,18.0,8.0,D,2
26,2010,20001,TOR,18.0,15.0,D,1
27,2010,20001,TOR,18.0,22.0,D,2
28,2010,20001,TOR,18.0,36.0,D,2
29,2010,20001,TOR,18.0,11.0,L,2
30,2010,20001,TOR,18.0,16.0,L,1
31,2010,20001,TOR,18.0,41.0,L,1
32,2010,20001,TOR,18.0,9.0,R,2
33,2010,20001,TOR,18.0,18.0,R,2
34,2010,20001,TOR,18.0,28.0,R,2
35,2010,20001,TOR,18.0,32.0,R,2
36,2010,20002,PHI,18.0,11.0,C,2
37,2010,20002,PHI,18.0,17.0,C,1
38,2010,20002,PHI,18.0,18.0,C,1
39,2010,20002,PHI,18.0,36.0,C,2
40,2010,20002,PHI,18.0,48.0,C,1
41,2010,20002,PHI,18.0,3.0,D,2
42,2010,20002,PHI,18.0,5.0,D,2
