,Season,GameNumber,EventNumber,Period,AdvantageType,EventTimeFromZero,EventTimeFromTwenty,EventType,EventDetail,VPlayer1,VPosition1,VPlayer2,VPosition2,VPlayer3,VPosition3,VPlayer4,VPosition4,VPlayer5,VPosition5,VPlayer6,VPosition6,HPlayer1,HPosition1,HPlayer2,HPosition2,HPlayer3,HPosition3,HPlayer4,HPosition4,HPlayer5,HPosition5,HPlayer6,HPosition6,TeamCode,PlayerNumber,PlayerName,ShotType,Zone,Length,ShotResult,ShotTeamCode,ShotPlayerNumber,ShotPlayerName,WinTeamCode,VTeamCode,VNumber,VName,HTeamCode,HNumber,HName,HitterTeamCode,HitterPlayerNumber,HitterPlayerName,HitteeTeamCode,HitteePlayerNumber,HitteePlayerName,PenaltyTeamCode,PenaltyPlayerNumber,PenaltyPlayerName,PenaltyType,DrawnByTeamCode,DrawnByPlayerNumber,DrawnByPlayerName,GameDate,GoalNumber,GoalTime,Assist1Player,Assist2Player
0,2010,20001,1.0,1,EV,0,1200.0,FAC,MTL won Neu. Zone - MTL #11 GOMEZ vs TOR #37 BRENT,11.0,C,21.0,R,57.0,L,26.0,D,75.0,D,31.0,G,37.0,C,9.0,R,11.0,L,3.0,D,22.0,D,35.0,G,,,,,N,,,,,,MTL,MTL,11.0,GOMEZ,TOR,37.0,BRENT,,,,,,,,,,,,,,2010-10-07,,,,
1,2010,20001,3.0,1,EV,15,1185.0,HIT,"TOR #37 BRENT HIT MTL #26 GORGES, Off. Zone",11.0,C,21.0,R,57.0,L,26.0,D,75.0,D,31.0,G,37.0,C,9.0,R,11.0,L,3.0,D,22.0,D,35.0,G,,,,,O,,,,,,,,,,,,,TOR,37.0,BRENT,MTL,26.0,GORGES,,,,,,,,,,,,
2,2010,20001,4.0,1,EV,46,1154.0,HIT,"MTL #14 PLEKANEC HIT TOR #2 SCHENN, Off. Zone",14.0,C,81.0,C,46.0,L,6.0,D,76.0,D,31.0,G,42.0,C,81.0,C,32.0,R,2.0,D,15.0,D,35.0,G,,,,,O,,,,,,,,,,,,,MTL,14.0,PLEKANEC,TOR,2.0,SCHENN,,,,,,,,,,,,
3,2010,20001,5.0,1,EV,57,1143.0,HIT,"MTL #76 SUBBAN HIT TOR #15 KABERLE, Neu. Zone",14.0,C,81.0,C,46.0,L,6.0,D,76.0,D,31.0,G,42.0,C,81.0,C,32.0,R,2.0,D,15.0,D,35.0,G,,,,,N,,,,,,,,,,,,,MTL,76.0,SUBBAN,TOR,15.0,KABERLE,,,,,,,,,,,,
4,2010,20001,6.0,1,EV,69,1131.0,GIVE,"TOR&nbsp;GIVEAWAY - #35 GIGUERE, Def. Zone",14.0,C,81.0,C,46.0,L,6.0,D,76.0,D,31.0,G,42.0,C,81.0,C,32.0,R,2.0,D,15.0,D,35.0,G,TOR,35.0,GIGUERE,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2010,20001,7.0,1,EV,73,1127.0,BLOCK,"MTL #76 SUBBAN BLOCKED BY  TOR #2 SCHENN, Wrist, Def. Zone",14.0,C,81.0,C,46.0,L,6.0,D,76.0,D,31.0,G,42.0,C,81.0,C,32.0,R,2.0,D,15.0,D,35.0,G,TOR,2.0,SCHENN,Wrist,D,,,MTL,76.0,SUBBAN,,,,,,,,,,,,,,,,,,,,,,,,,
6,2010,20001,8.0,1,EV,86,1114.0,SHOT,"MTL ONGOAL - #81 ELLER, Wrist, Off. Zone, 11 ft.",14.0,C,81.0,C,46.0,L,6.0,D,76.0,D,31.0,G,42.0,C,81.0,C,32.0,R,2.0,D,15.0,D,35.0,G,MTL,81.0,ELLER,Wrist,O,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2010,20001,9.0,1,EV,91,1109.0,SHOT,"MTL ONGOAL - #46 KOSTITSYN, Snap, Off. Zone, 8 ft.",14.0,C,81.0,C,46.0,L,6.0,D,76.0,D,31.0,G,42.0,C,81.0,C,32.0,R,2.0,D,15.0,D,35.0,G,MTL,46.0,KOSTITSYN,Snap,O,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2010,20001,10.0,1,EV,95,1105.0,BLOCK,"MTL #76 SUBBAN BLOCKED BY  TOR #32 VERSTEEG, Slap, Def. Zone",14.0,C,81.0,C,46.0,L,6.0,D,76.0,D,31.0,G,42.0,C,81.0,C,32.0,R,2.0,D,15.0,D,35.0,G,TOR,32.0,VERSTEEG,Slap,D,,,MTL,76.0,SUBBAN,,,,,,,,,,,,,,,,,,,,,,,,,
9,2010,20001,11.0,1,EV,102,1098.0,MISS,"MTL #76 SUBBAN, Slap, Wide of Net, Off. Zone, 58 ft.",15.0,C,40.0,C,52.0,L,75.0,D,76.0,D,31.0,G,81.0,C,84.0,C,16.0,L,8.0,D,36.0,D,35.0,G,MTL,76.0,SUBBAN,Slap,O,58.0,Wide of Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,
