,Season,GameNumber,EventNumber,Period,AdvantageType,EventTimeFromZero,EventTimeFromTwenty,EventType,EventDetail,TeamCode,VPlayer,VPosition,HPlayer,HPosition,PlayerNumber,PlayerName,ShotType,Zone,Length,ShotResult,ShotTeamCode,ShotPlayerNumber,ShotPlayerName,WinTeamCode,VTeamCode,HTeamCode,HitterTeamCode,HitterPlayerNumber,HitterPlayerName,HitteeTeamCode,HitteePlayerNumber,HitteePlayerName,PenaltyTeamCode,PenaltyPlayerNumber,PenaltyPlayerName,PenaltyType,DrawnByTeamCode,DrawnByPlayerNumber,DrawnByPlayerName,GameDate,GoalNumber,GoalTime,Assist1Player,Assist2Player,TBGoalandEvent,Counts,block,faceoff,giveaway,goal,hit,miss,penalty,shot,takeaway,eventvalue,heventvalue,veventvalue,vp,hp,vgp,hgp,gp,plyr,zs,vzs,hzs,zvp,zhp,zplyr,vmax,vmin,pos,vpos,hmax,hmin,hpos,position
0,2010,20001,34.0,1,EV,401,799.0,HIT,"TOR #28 ORR HIT MTL #14 PLEKANEC, Off. Zone",TOR,14.0,C,37.0,C,,,,O,,,,,,,MTL,TOR,TOR,28.0,ORR,MTL,14.0,PLEKANEC,,,,,,,,,1.0,402.0,,,1.0,162,0,0,0,0,1,0,0,0,0,0.14814814814814814,0.14814814814814814,-0.14814814814814814,-0.5185185185185185,0.4814814814814815,1,1,1,0.4814814814814815,1,-1,1,-3,0,0.0,4,-3,4,4,1,-6,3,3.0
1,2010,20001,34.0,1,EV,401,799.0,HIT,"TOR #28 ORR HIT MTL #14 PLEKANEC, Off. Zone",TOR,81.0,RW,18.0,RW,,,,O,,,,,,,MTL,TOR,TOR,28.0,ORR,MTL,14.0,PLEKANEC,,,,,,,,,1.0,402.0,,,1.0,162,0,0,0,0,1,0,0,0,0,0.14814814814814814,0.14814814814814814,-0.14814814814814814,-0.5185185185185185,0.33333333333333337,1,1,1,0.33333333333333337,1,-1,1,-3,2,2.0,6,-3,4,4,2,-8,1,1.0
2,2010,20001,34.0,1,EV,401,799.0,HIT,"TOR #28 ORR HIT MTL #14 PLEKANEC, Off. Zone",TOR,46.0,LW,28.0,LW,,,,O,,,,,,,MTL,TOR,TOR,28.0,ORR,MTL,14.0,PLEKANEC,,,,,,,,,1.0,402.0,,,1.0,162,0,0,0,0,1,0,0,0,0,0.14814814814814814,0.14814814814814814,-0.14814814814814814,-0.5185185185185185,0.33333333333333337,1,1,1,0.33333333333333337,1,-1,1,-3,2,2.0,5,-3,4,4,2,-8,1,1.0
3,2010,20001,34.0,1,EV,401,799.0,HIT,"TOR #28 ORR HIT MTL #14 PLEKANEC, Off. Zone",TOR,20.0,RD,3.0,RD,,,,O,,,,,,,MTL,TOR,TOR,28.0,ORR,MTL,14.0,PLEKANEC,,,,,,,,,1.0,402.0,,,1.0,162,0,0,0,0,1,0,0,0,0,0.14814814814814814,0.14814814814814814,-0.14814814814814814,-0.33333333333333337,0.4444444444444444,1,1,1,0.4444444444444444,1,-1,1,-2,0,0.0,6,-2,4,4,0,-5,1,1.0
4,2010,20001,34.0,1,EV,401,799.0,HIT,"TOR #28 ORR HIT MTL #14 PLEKANEC, Off. Zone",TOR,45.0,LD,36.0,LD,,,,O,,,,,,,MTL,TOR,TOR,28.0,ORR,MTL,14.0,PLEKANEC,,,,,,,,,1.0,402.0,,,1.0,162,0,0,0,0,1,0,0,0,0,0.14814814814814814,0.14814814814814814,-0.14814814814814814,-0.33333333333333337,-0.037037037037037035,1,1,1,-0.037037037037037035,1,-1,1,-2,0,0.0,6,-2,4,4,0,-6,1,1.0
5,2010,20001,34.0,1,EV,401,799.0,HIT,"TOR #28 ORR HIT MTL #14 PLEKANEC, Off. Zone",TOR,31.0,G,35.0,G,,,,O,,,,,,,MTL,TOR,TOR,28.0,ORR,MTL,14.0,PLEKANEC,,,,,,,,,1.0,402.0,,,1.0,162,0,0,0,0,1,0,0,0,0,0.14814814814814814,0.14814814814814814,-0.14814814814814814,0.2962962962962963,-0.2962962962962963,1,1,1,-0.2962962962962963,1,-1,1,7,-7,-7.0,7,7,3,3,-7,-7,3,3.0
6,2010,20001,35.0,1,EV,402,798.0,GOAL,"TOR #37 BRENT(1), Tip-In, Off. Zone, 22 ft.Assist: #3 PHANEUF(1)",TOR,14.0,C,37.0,C,37.0,BRENT,Tip-In,O,22.0,,,,,,MTL,TOR,,,,,,,,,,,,,,,1.0,402.0,3 D.PHANEUF(1),,0.0,162,0,0,0,1,0,0,0,0,0,0.25925925925925924,0.25925925925925924,-0.25925925925925924,-0.5185185185185185,0.4814814814814815,1,1,1,0.4814814814814815,1,-1,1,-3,0,0.0,4,-3,4,4,1,-6,3,3.0
7,2010,20001,35.0,1,EV,402,798.0,GOAL,"TOR #37 BRENT(1), Tip-In, Off. Zone, 22 ft.Assist: #3 PHANEUF(1)",TOR,81.0,RW,18.0,RW,37.0,BRENT,Tip-In,O,22.0,,,,,,MTL,TOR,,,,,,,,,,,,,,,1.0,402.0,3 D.PHANEUF(1),,0.0,162,0,0,0,1,0,0,0,0,0,0.25925925925925924,0.25925925925925924,-0.25925925925925924,-0.5185185185185185,0.33333333333333337,1,1,1,0.33333333333333337,1,-1,1,-3,2,2.0,6,-3,4,4,2,-8,1,1.0
8,2010,20001,35.0,1,EV,402,798.0,GOAL,"TOR #37 BRENT(1), Tip-In, Off. Zone, 22 ft.Assist: #3 PHANEUF(1)",TOR,46.0,LW,28.0,LW,37.0,BRENT,Tip-In,O,22.0,,,,,,MTL,TOR,,,,,,,,,,,,,,,1.0,402.0,3 D.PHANEUF(1),,0.0,162,0,0,0,1,0,0,0,0,0,0.25925925925925924,0.25925925925925924,-0.25925925925925924,-0.5185185185185185,0.33333333333333337,1,1,1,0.33333333333333337,1,-1,1,-3,2,2.0,5,-3,4,4,2,-8,1,1.0
9,2010,20001,35.0,1,EV,402,798.0,GOAL,"TOR #37 BRENT(1), Tip-In, Off. Zone, 22 ft.Assist: #3 PHANEUF(1)",TOR,20.0,RD,3.0,RD,37.0,BRENT,Tip-In,O,22.0,,,,,,MTL,TOR,,,,,,,,,,,,,,,1.0,402.0,3 D.PHANEUF(1),,0.0,162,0,0,0,1,0,0,0,0,0,0.25925925925925924,0.25925925925925924,-0.25925925925925924,-0.33333333333333337,0.4444444444444444,1,1,1,0.4444444444444444,1,-1,1,-2,0,0.0,6,-2,4,4,0,-5,1,1.0
