GameNumber,EventNumber,TeamCode,PlayerNumber,PlayerLName,ShotType,Zone,Length,Season
20001,35,TOR,37,BRENT,Tip-In,O,22,2010
20001,49,TOR,81,KESSEL,Wrist,O,14,2010
20001,68,MTL,17,BOYD,Snap,O,11,2010
20001,223,TOR,16,MACARTHUR,Backhand,O,21,2010
20001,232,MTL,15,HALPERN,Snap,O,11,2010
20002,146,PHI,48,BRIERE,Tip-In,O,17,2010
20002,207,PHI,11,BETTS,Wrist,O,7,2010
20002,228,PIT,48,KENNEDY,Snap,O,21,2010
20002,250,PHI,28,GIROUX,Wrist,O,11,2010
20002,252,PIT,3,GOLIGOSKI,Tip-In,O,16,2010
20003,18,MIN,48,LATENDRESSE,Wrist,O,12,2010
20003,114,CAR,16,SUTTER,Tip-In,O,10,2010
20003,161,CAR,33,BABCHUK,Backhand,O,10,2010
20003,185,MIN,7,CULLEN,Wrist,O,16,2010
20003,195,CAR,36,JOKINEN,Wrist,O,36,2010
20003,229,CAR,16,SUTTER,Deflected,O,11,2010
20003,330,MIN,8,BURNS,Wrist,O,12,2010
20004,22,CHI,29,BICKELL,Wrist,O,36,2010
20004,83,COL,25,STEWART,Wrist,O,10,2010
20004,135,COL,9,DUCHENE,Tip-In,O,32,2010
20004,180,COL,26,STASTNY,Snap,O,19,2010
20004,200,CHI,81,HOSSA,Wrist,O,7,2010
20004,262,CHI,10,SHARP,Wrist,O,14,2010
20004,322,COL,26,STASTNY,Wrist,O,16,2010
20005,57,EDM,67,BRULE,Wrist,O,27,2010
20005,256,EDM,14,EBERLE,Backhand,O,8,2010
20005,261,EDM,83,HEMSKY,Slap,O,36,2010
20005,285,EDM,10,HORCOFF,Snap,O,27,2010
20006,13,SJ,17,MITCHELL,Backhand,O,6,2010
20006,63,SJ,19,THORNTON,Slap,O,54,2010
20006,90,CBJ,20,HUSELIUS,Wrist,O,22,2010
20006,93,CBJ,18,UMBERGER,Deflected,O,11,2010
20006,263,SJ,39,COUTURE,Wrist,O,33,2010
20007,16,NJ,19,ZAJAC,Wrist,O,7,2010
20007,33,NJ,9,PARISE,Snap,O,40,2010
20007,49,DAL,10,MORROW,Snap,O,12,2010
20007,104,DAL,21,ERIKSSON,Wrist,O,7,2010
20007,127,NJ,25,ARNOTT,Slap,O,53,2010
20007,133,DAL,91,RICHARDS,Wrist,O,13,2010
20007,222,DAL,21,ERIKSSON,Snap,O,28,2010
20008,100,MIN,15,BRUNETTE,Backhand,O,9,2010
20008,131,CAR,15,RUUTU,Wrist,O,13,2010
20008,359,CAR,53,SKINNER,Wrist,O,9,2010
20009,30,DET,93,FRANZEN,Snap,O,28,2010
20009,35,DET,90,MODANO,Snap,O,42,2010
20009,130,DET,13,DATSYUK,Tip-In,O,15,2010
20009,187,DET,11,CLEARY,Tip-In,O,5,2010
20010,37,BUF,9,ROY,Backhand,O,11,2010
20010,199,OTT,22,KELLY,Snap,O,8,2010
20010,253,BUF,9,ROY,Tip-In,O,7,2010
20011,29,WSH,21,LAICH,Snap,O,10,2010
20011,62,ATL,9,KANE,Snap,O,39,2010
20011,195,ATL,16,LADD,Tip-In,O,14,2010
20011,212,ATL,9,KANE,Penalty Sho,N,12,2010
20011,258,WSH,22,KNUBLE,Snap,O,17,2010
20011,296,ATL,19,MODIN,Wrist,O,15,2010
20012,50,PHX,17,VRBATA,Wrist,O,7,2010
20012,132,PHX,14,PYATT,Wrist,O,19,2010
20012,191,PHX,8,UPSHALL,Wrist,O,19,2010
20012,216,PHX,20,BELANGER,Wrist,O,13,2010
20012,245,BOS,18,HORTON,Wrist,O,23,2010
20012,274,BOS,18,HORTON,Wrist,O,18,2010
