GameNumber,EventNumber,TakeTeamCode,TakePlayerNumber,TakePlayerLName,Zone,Season
20001,41,TOR,9,ARMSTRONG,O,2010
20001,45,MTL,11,GOMEZ,D,2010
20001,56,MTL,81,ELLER,N,2010
20001,87,MTL,15,HALPERN,D,2010
20001,88,MTL,6,SPACEK,D,2010
20001,101,TOR,84,GRABOVSKI,O,2010
20001,107,TOR,32,VERSTEEG,O,2010
20001,126,MTL,52,DARCHE,N,2010
20001,172,MTL,26,GORGES,D,2010
20001,181,TOR,42,BOZAK,N,2010
20001,253,TOR,36,GUNNARSSON,D,2010
20001,287,MTL,21,GIONTA,O,2010
20001,300,TOR,22,BEAUCHEMIN,D,2010
20002,40,PIT,87,CROSBY,O,2010
20002,53,PIT,10,LETESTU,O,2010
20002,82,PIT,7,MARTIN,D,2010
20002,90,PIT,27,ADAMS,D,2010
20002,114,PHI,36,POWE,D,2010
20002,239,PIT,71,MALKIN,D,2010
20002,263,PIT,17,RUPP,D,2010
20002,296,PIT,87,CROSBY,D,2010
20002,312,PIT,10,LETESTU,D,2010
20002,316,PIT,71,MALKIN,O,2010
20003,11,MIN,5,ZANON,D,2010
20003,46,CAR,16,SUTTER,D,2010
20003,47,MIN,20,MIETTINEN,N,2010
20003,58,CAR,26,COLE,N,2010
20003,144,MIN,48,LATENDRESSE,D,2010
20003,187,CAR,36,JOKINEN,N,2010
20003,211,MIN,9,KOIVU,N,2010
20003,253,MIN,9,KOIVU,O,2010
20003,271,MIN,8,BURNS,D,2010
20003,282,MIN,15,BRUNETTE,O,2010
20003,309,MIN,11,MADDEN,D,2010
20004,14,COL,22,HANNAN,D,2010
20004,24,CHI,8,LEDDY,D,2010
20004,35,CHI,10,SHARP,D,2010
20004,40,COL,34,WINNIK,D,2010
20004,44,CHI,36,BOLLAND,O,2010
20004,46,COL,44,WILSON,D,2010
20004,47,CHI,29,BICKELL,O,2010
20004,56,CHI,88,KANE,N,2010
20004,60,COL,27,QUINCEY,O,2010
20004,71,CHI,36,BOLLAND,D,2010
20004,72,COL,26,STASTNY,O,2010
20004,80,COL,37,OREILLY,N,2010
20004,125,COL,9,DUCHENE,N,2010
20004,129,COL,10,CUMISKEY,D,2010
20004,142,CHI,36,BOLLAND,D,2010
20004,144,CHI,19,TOEWS,D,2010
20004,145,CHI,10,SHARP,N,2010
20004,147,COL,10,CUMISKEY,D,2010
20004,156,COL,26,STASTNY,N,2010
20004,196,CHI,36,BOLLAND,D,2010
20004,216,CHI,7,SEABROOK,D,2010
20004,220,CHI,36,BOLLAND,O,2010
20004,228,COL,37,OREILLY,D,2010
20004,243,CHI,20,SKILLE,D,2010
20004,253,COL,44,WILSON,D,2010
20004,298,CHI,10,SHARP,O,2010
20004,313,CHI,88,KANE,D,2010
20004,321,CHI,4,HJALMARSSON,D,2010
20005,59,CGY,13,JOKINEN,O,2010
20005,83,EDM,27,PENNER,D,2010
20005,95,EDM,14,EBERLE,O,2010
20005,107,CGY,17,BOURQUE,N,2010
20005,113,EDM,10,HORCOFF,D,2010
20005,133,EDM,49,PECKHAM,D,2010
20005,144,CGY,41,IVANANS,O,2010
20005,151,EDM,77,GILBERT,D,2010
20005,156,CGY,10,HAGMAN,O,2010
20005,166,EDM,4,HALL,N,2010
20005,168,EDM,14,EBERLE,O,2010
20005,178,EDM,91,PAAJARVI,D,2010
20005,184,EDM,10,HORCOFF,D,2010
20005,228,EDM,83,HEMSKY,O,2010
20005,235,CGY,20,GLENCROSS,D,2010
20005,245,EDM,6,WHITNEY,D,2010
20005,337,CGY,13,JOKINEN,O,2010
20006,45,SJ,64,MCGINN,D,2010
