Season,GameNumber,GoalNumber,Period,Time,GoalType,TeamCode,GoalPlayer,Assist1Player,Assist2Player
2010,20001,1,1,402,EV,TOR,37 T.BRENT(1),3 D.PHANEUF(1),
2010,20001,2,1,537,EV,TOR,81 P.KESSEL(1),42 T.BOZAK(1),8 M.KOMISAREK(1)
2010,20001,3,1,739,EV,MTL,17 D.BOYD(1),unassisted,
2010,20001,4,3,96,EV,TOR,16 C.MACARTHUR(1),41 N.KULEMIN(1),84 M.GRABOVSKI(1)
2010,20001,5,3,148,EV,MTL,15 J.HALPERN(1),40 M.LAPIERRE(1),57 B.POULIOT(1)
2010,20002,1,2,171,PP,PHI,48 D.BRIERE(1),18 M.RICHARDS(1),22 V.LEINO(1)
2010,20002,2,2,1035,EV,PHI,11 B.BETTS(1),36 D.POWE(1),21 J.VAN RIEMSDYK(1)
2010,20002,3,3,44,EV,PIT,48 T.KENNEDY(1),7 P.MARTIN(1),58 K.LETANG(1)
2010,20002,4,3,295,SH,PHI,28 C.GIROUX(1),unassisted,
2010,20002,5,3,314,PP,PIT,3 A.GOLIGOSKI(1),4 Z.MICHALEK(1),14 C.KUNITZ(1)
2010,20003,1,1,213,EV,MIN,48 G.LATENDRESSE(1),9 M.KOIVU(1),21 K.BRODZIAK(1)
2010,20003,2,1,1190,PP,CAR,16 B.SUTTER(1),36 J.JOKINEN(1),4 J.MCBAIN(1)
2010,20003,3,2,358,EV,CAR,33 A.BABCHUK(1),26 E.COLE(1),22 Z.DALPE(1)
2010,20003,4,2,592,PP,MIN,7 M.CULLEN(1),24 M.HAVLAT(1),
2010,20003,5,2,676,PP,CAR,36 J.JOKINEN(1),77 J.CORVO(1),25 J.PITKANEN(1)
2010,20003,6,2,1083,EV,CAR,16 B.SUTTER(2),39 P.DWYER(1),6 T.GLEASON(1)
2010,20003,7,3,999,PP,MIN,8 B.BURNS(1),20 A.MIETTINEN(1),7 M.CULLEN(1)
2010,20004,1,1,277,PP,CHI,29 B.BICKELL(1),81 M.HOSSA(1),22 T.BROUWER(1)
2010,20004,2,1,990,EV,COL,25 C.STEWART(1),unassisted,
2010,20004,3,2,373,EV,COL,9 M.DUCHENE(1),52 A.FOOTE(1),10 K.CUMISKEY(1)
2010,20004,4,2,831,PP,COL,26 P.STASTNY(1),4 J.LILES(1),25 C.STEWART(1)
2010,20004,5,2,1104,EV,CHI,81 M.HOSSA(1),10 P.SHARP(1),82 T.KOPECKY(1)
2010,20004,6,3,625,PP,CHI,10 P.SHARP(1),82 T.KOPECKY(2),19 J.TOEWS(1)
2010,20004,7,0,220,EV,COL,26 P.STASTNY(2),9 M.DUCHENE(1),4 J.LILES(2)
2010,20005,1,1,544,PP,EDM,67 G.BRULE(1),6 R.WHITNEY(1),
2010,20005,2,3,84,SH,EDM,14 J.EBERLE(1),2 J.VANDERMEER(1),
2010,20005,3,3,163,EV,EDM,83 A.HEMSKY(1),89 S.GAGNER(1),5 L.SMID(1)
2010,20005,4,3,304,PP,EDM,10 S.HORCOFF(1),14 J.EBERLE(1),6 R.WHITNEY(2)
2010,20006,1,1,131,EV,SJ,17 T.MITCHELL(1),29 R.CLOWE(1),8 J.PAVELSKI(1)
2010,20006,2,1,657,PP,SJ,19 J.THORNTON(1),8 J.PAVELSKI(2),31 A.NIEMI(1)
2010,20006,3,1,1015,PP,CBJ,20 K.HUSELIUS(1),28 N.FILATOV(1),6 A.STRALMAN(1)
2010,20006,4,1,1030,EV,CBJ,18 R.UMBERGER(1),19 E.MOREAU(1),26 S.PAHLSSON(1)
2010,20006,5,3,615,PP,SJ,39 L.COUTURE(1),29 R.CLOWE(2),22 D.BOYLE(1)
2010,20007,1,1,165,EV,NJ,19 T.ZAJAC(1),17 I.KOVALCHUK(1),6 A.GREENE(1)
2010,20007,2,1,433,EV,NJ,9 Z.PARISE(1),17 I.KOVALCHUK(2),19 T.ZAJAC(1)
2010,20007,3,1,676,EV,DAL,10 B.MORROW(1),63 M.RIBEIRO(1),28 M.FISTRIC(1)
2010,20007,4,2,182,EV,DAL,21 L.ERIKSSON(1),18 J.NEAL(1),91 B.RICHARDS(1)
2010,20007,5,2,622,PP,NJ,25 J.ARNOTT(1),26 P.ELIAS(1),15 J.LANGENBRUNNER(1)
2010,20007,6,2,698,EV,DAL,91 B.RICHARDS(1),18 J.NEAL(2),
2010,20007,7,0,96,EV,DAL,21 L.ERIKSSON(2),unassisted,
2010,20008,1,1,1043,PP,MIN,15 A.BRUNETTE(1),9 M.KOIVU(2),25 C.BARKER(1)
2010,20008,2,2,120,EV,CAR,15 T.RUUTU(1),36 J.JOKINEN(2),53 J.SKINNER(1)
2010,20008,3,0,0,SO,CAR,53 J.SKINNER,&nbsp;,
2010,20009,1,1,311,EV,DET,93 J.FRANZEN(1),51 V.FILPPULA(1),44 T.BERTUZZI(1)
2010,20009,2,1,335,EV,DET,90 M.MODANO(1),11 D.CLEARY(1),23 B.STUART(1)
2010,20009,3,2,329,EV,DET,13 P.DATSYUK(1),40 H.ZETTERBERG(1),28 B.RAFALSKI(1)
2010,20009,4,2,1015,EV,DET,11 D.CLEARY(1),13 P.DATSYUK(1),
2010,20010,1,1,484,EV,BUF,9 D.ROY(1),63 T.ENNIS(1),27 S.MORRISONN(1)
2010,20010,2,2,1151,EV,OTT,22 C.KELLY(1),73 J.RUUTU(1),25 C.NEIL(1)
2010,20010,3,3,612,PP,BUF,9 D.ROY(2),63 T.ENNIS(2),57 T.MYERS(1)
2010,20011,1,1,198,EV,WSH,21 B.LAICH(1),14 T.FLEISCHMANN(1),28 A.SEMIN(1)
2010,20011,2,1,477,EV,ATL,9 E.KANE(1),unassisted,
2010,20011,3,2,943,EV,ATL,16 A.LADD(1),29 J.ODUYA(1),18 N.BERGFORS(1)
2010,20011,4,2,1134,EV-PS,ATL,9 E.KANE(2),Penalty Shot,
2010,20011,5,3,496,EV,WSH,22 M.KNUBLE(1),8 A.OVECHKIN(1),52 M.GREEN(1)
2010,20011,6,3,900,EV,ATL,19 F.MODIN(1),80 N.ANTROPOV(1),
2010,20012,1,1,479,EV,PHX,17 R.VRBATA(1),33 A.AUCOIN(1),55 E.JOVANOVSKI(1)
2010,20012,2,2,118,EV,PHX,14 T.PYATT(1),38 V.FIDDLER(1),22 L.STEMPNIAK(1)
2010,20012,3,2,902,EV,PHX,8 S.UPSHALL(1),unassisted,
2010,20012,4,2,1183,PP,PHX,20 E.BELANGER(1),3 K.YANDLE(1),13 R.WHITNEY(1)
2010,20012,5,3,213,EV,BOS,18 N.HORTON(1),17 M.LUCIC(1),46 D.KREJCI(1)
2010,20012,6,3,543,PP,BOS,18 N.HORTON(2),33 Z.CHARA(1),73 M.RYDER(1)
2010,20012,7,3,1093,EV-EN,PHX,17 R.VRBATA(2),55 E.JOVANOVSKI(2),
2010,20013,1,1,653,EV,NYR,21 D.STEPAN(1),5 D.GIRARDI(1),16 S.AVERY(1)
2010,20013,2,1,942,EV,NYR,17 B.DUBINSKY(1),42 A.ANISIMOV(1),
2010,20013,3,2,667,EV,BUF,3 J.LEOPOLD(1),36 P.KALETA(1),28 P.GAUSTAD(1)
2010,20013,4,2,908,EV,NYR,21 D.STEPAN(2),18 M.STAAL(1),
2010,20013,5,2,1100,EV,NYR,21 D.STEPAN(3),16 S.AVERY(2),5 D.GIRARDI(2)
2010,20013,6,3,68,EV,NYR,26 E.CHRISTENSEN(1),10 M.GABORIK(1),31 A.FROLOV(1)
2010,20013,7,3,340,PP,BUF,3 J.LEOPOLD(2),19 T.CONNOLLY(1),21 D.STAFFORD(1)
2010,20013,8,3,863,EV,BUF,9 D.ROY(3),63 T.ENNIS(3),3 J.LEOPOLD(1)
2010,20013,9,3,1115,SH-EN,NYR,17 B.DUBINSKY(2),24 R.CALLAHAN(1),
2010,20014,1,1,98,EV,TOR,41 N.KULEMIN(1),16 C.MACARTHUR(1),
2010,20014,2,1,471,EV,TOR,81 P.KESSEL(2),32 K.VERSTEEG(1),
2010,20014,3,2,498,EV,TOR,16 C.MACARTHUR(2),84 M.GRABOVSKI(2),8 M.KOMISAREK(2)
2010,20014,4,3,164,PP,TOR,32 K.VERSTEEG(1),15 T.KABERLE(1),81 P.KESSEL(1)
2010,20014,5,3,339,EV,TOR,37 T.BRENT(2),unassisted,
2010,20014,6,3,431,EV,OTT,19 J.SPEZZA(1),11 D.ALFREDSSON(1),55 S.GONCHAR(1)
2010,20015,1,1,592,PP,DAL,14 J.BENN(1),91 B.RICHARDS(2),29 S.OTT(1)
2010,20015,2,1,719,EV,DAL,3 S.ROBIDAS(1),91 B.RICHARDS(3),6 T.DALEY(1)
2010,20015,3,2,381,PP,NYI,20 J.WISNIEWSKI(1),93 D.WEIGHT(1),12 J.BAILEY(1)
2010,20015,4,2,825,EV,DAL,10 B.MORROW(2),63 M.RIBEIRO(2),2 N.GROSSMAN(1)
2010,20015,5,2,924,PP,NYI,93 D.WEIGHT(1),15 P.PARENTEAU(1),20 J.WISNIEWSKI(1)
2010,20015,6,3,432,EV,DAL,10 B.MORROW(3),63 M.RIBEIRO(3),
2010,20015,7,3,525,EV,NYI,57 B.COMEAU(1),24 R.MARTINEK(1),12 J.BAILEY(2)
2010,20015,8,3,1041,PP,NYI,26 M.MOULSON(1),51 F.NIELSEN(1),93 D.WEIGHT(2)
2010,20015,9,0,0,SO,DAL,63 M.RIBEIRO,&nbsp;,
2010,20016,1,1,924,EV,MTL,13 M.CAMMALLERI(1),14 T.PLEKANEC(1),46 A.KOSTITSYN(1)
2010,20016,2,2,40,EV,PIT,71 E.MALKIN(1),87 S.CROSBY(1),3 A.GOLIGOSKI(1)
2010,20016,3,3,522,EV,PIT,10 M.LETESTU(1),24 M.COOKE(1),7 P.MARTIN(2)
2010,20016,4,3,1068,EV,MTL,13 M.CAMMALLERI(2),15 J.HALPERN(1),26 J.GORGES(1)
2010,20016,5,3,1092,EV,MTL,11 S.GOMEZ(1),57 B.POULIOT(2),21 B.GIONTA(1)
2010,20017,1,1,109,EV,NJ,25 J.ARNOTT(2),15 J.LANGENBRUNNER(2),26 P.ELIAS(2)
2010,20017,2,1,144,EV,WSH,74 J.CARLSON(1),unassisted,
2010,20017,3,1,824,SH,NJ,7 H.TALLINDER(1),8 D.ZUBRUS(1),19 T.ZAJAC(2)
2010,20017,4,2,119,EV,WSH,14 T.FLEISCHMANN(1),28 A.SEMIN(2),74 J.CARLSON(1)
2010,20017,5,2,871,EV,WSH,8 A.OVECHKIN(1),22 M.KNUBLE(1),74 J.CARLSON(2)
2010,20017,6,2,1105,EV,WSH,25 J.CHIMERA(1),14 T.FLEISCHMANN(2),
2010,20017,7,2,1152,EV-PS,WSH,8 A.OVECHKIN(2),Penalty Shot,
2010,20017,8,3,187,SH,WSH,21 B.LAICH(2),unassisted,
2010,20017,9,3,627,PP,WSH,16 E.FEHR(1),28 A.SEMIN(3),8 A.OVECHKIN(2)
2010,20018,1,1,323,PP,TB,9 S.DOWNIE(1),6 R.MALONE(1),7 B.CLARK(1)
2010,20018,2,1,501,EV,TB,19 D.MOORE(1),16 T.PURCELL(1),10 S.BERGENHEIM(1)
2010,20018,3,2,140,PP,TB,4 V.LECAVALIER(1),26 M.ST LOUIS(1),91 S.STAMKOS(1)
2010,20018,4,2,321,EV,TB,91 S.STAMKOS(1),77 V.HEDMAN(1),9 S.DOWNIE(1)
2010,20018,5,2,991,PP,ATL,39 T.ENSTROM(1),18 N.BERGFORS(2),16 A.LADD(1)
2010,20018,6,2,1092,EV,ATL,21 B.EAGER(1),unassisted,
2010,20018,7,3,461,EV,ATL,27 C.THORBURN(1),3 B.SOPEL(1),21 B.EAGER(1)
2010,20018,8,3,659,EV,TB,91 S.STAMKOS(2),8 R.JONES(1),
2010,20019,1,1,948,PP,STL,22 B.BOYES(1),6 E.JOHNSON(1),20 A.STEEN(1)
2010,20019,2,3,135,EV,PHI,48 D.BRIERE(2),25 M.CARLE(1),22 V.LEINO(2)
2010,20019,3,0,107,EV,STL,28 C.COLAIACOVO(1),20 A.STEEN(2),5 B.JACKMAN(1)
2010,20020,1,2,250,EV,NSH,9 M.GOC(1),22 J.TOOTOO(1),4 C.FRANSON(1)
2010,20020,2,2,325,EV,ANA,11 S.KOIVU(1),8 T.SELANNE(1),54 C.FOWLER(1)
2010,20020,3,2,513,PP,NSH,26 S.SULLIVAN(1),20 R.SUTER(1),6 S.WEBER(1)
