,Season,TeamCode,PlayerNumber,PlayerPosition,rank
464,2010,ANA,11,C,2
8691,2010,ANA,12,C,2
5842,2010,ANA,13,C,2
481,2010,ANA,15,C,1
1647,2010,ANA,18,C,2
486,2010,ANA,22,C,2
508,2010,ANA,26,C,2
492,2010,ANA,28,C,2
518,2010,ANA,43,C,2
2996,2010,ANA,47,C,2
4729,2010,ANA,48,C,2
9624,2010,ANA,49,C,2
515,2010,ANA,51,C,2
6778,2010,ANA,63,C,2
66112,2010,ANA,69,C,2
1619,2010,ANA,74,C,2
25341,2010,ANA,83,C,2
39229,2010,ANA,84,C,2
25350,2010,ANA,85,C,2
10404,2010,ANA,87,C,2
16649,2010,ANA,89,C,2
509,2010,ANA,90,C,2
3775,2010,ANA,91,C,2
465,2010,ANA,93,C,2
2287,2010,ANA,2,D,2
2288,2010,ANA,3,D,2
2293,2010,ANA,4,D,2
519,2010,ANA,5,D,2
1154,2010,ANA,6,D,2
7955,2010,ANA,7,D,2
484,2010,ANA,17,D,1
494,2010,ANA,21,D,2
467,2010,ANA,23,D,2
2984,2010,ANA,24,D,2
485,2010,ANA,25,D,2
2976,2010,ANA,32,D,2
6781,2010,ANA,37,D,2
11309,2010,ANA,52,D,2
1631,2010,ANA,53,D,2
468,2010,ANA,54,D,2
522,2010,ANA,55,D,2
10414,2010,ANA,58,D,2
495,2010,ANA,60,D,2
40277,2010,ANA,75,D,2
9606,2010,ANA,77,D,2
4451,2010,ANA,97,D,2
469,2010,ANA,1,G,1
7947,2010,ANA,30,G,2
1649,2010,ANA,31,G,2
1150,2010,ANA,35,G,2
1651,2010,ANA,41,G,2
3777,2010,ANA,14,L,2
2998,2010,ANA,19,L,2
517,2010,ANA,20,L,2
516,2010,ANA,33,L,2
1143,2010,ANA,34,L,2
3778,2010,ANA,38,L,2
491,2010,ANA,39,L,2
482,2010,ANA,40,L,2
4713,2010,ANA,45,L,2
1635,2010,ANA,57,L,2
4414,2010,ANA,61,L,2
8704,2010,ANA,64,L,2
8729,2010,ANA,68,L,2
67518,2010,ANA,72,L,2
3774,2010,ANA,86,L,2
19804,2010,ANA,94,L,2
510,2010,ANA,96,L,2
514,2010,ANA,8,R,1
513,2010,ANA,9,R,1
483,2010,ANA,10,R,1
520,2010,ANA,16,R,2
1139,2010,ANA,27,R,2
1145,2010,ANA,29,R,2
1628,2010,ANA,36,R,2
493,2010,ANA,42,R,2
466,2010,ANA,44,R,2
22769,2010,ANA,46,R,2
487,2010,ANA,50,R,2
26737,2010,ANA,59,R,2
20437,2010,ANA,67,R,2
1132,2010,ANA,71,R,2
27415,2010,ANA,73,R,2
13890,2010,ANA,81,R,2
13878,2010,ANA,82,R,2
13888,2010,ANA,88,R,2
1992,2010,ATL,11,C,2
4389,2010,ATL,20,C,2
633,2010,ATL,26,C,2
19473,2010,ATL,37,C,2
1035,2010,ATL,42,C,2
1014,2010,ATL,44,C,2
589,2010,ATL,47,C,2
53220,2010,ATL,49,C,2
35052,2010,ATL,53,C,2
19463,2010,ATL,63,C,2
596,2010,ATL,80,C,2
27417,2010,ATL,81,C,2
5706,2010,ATL,83,C,2
27456,2010,ATL,84,C,2
5720,2010,ATL,85,C,2
13360,2010,ATL,87,C,2
636,2010,ATL,90,C,2
987,2010,ATL,91,C,2
10813,2010,ATL,2,D,2
612,2010,ATL,3,D,2
599,2010,ATL,4,D,2
6894,2010,ATL,5,D,2
613,2010,ATL,6,D,2
1036,2010,ATL,7,D,2
1023,2010,ATL,13,D,2
2958,2010,ATL,24,D,2
602,2010,ATL,27,D,2
600,2010,ATL,29,D,2
5331,2010,ATL,32,D,2
4396,2010,ATL,34,D,2
9729,2010,ATL,35,D,2
40381,2010,ATL,38,D,2
593,2010,ATL,39,D,1
3687,2010,ATL,40,D,2
27906,2010,ATL,46,D,2
19472,2010,ATL,48,D,2
9738,2010,ATL,51,D,2
628,2010,ATL,52,D,2
629,2010,ATL,55,D,2
