,Season,GameNumber,VTeamCode,HTeamCode,VGF,HGF,GD,VGA,HGA,WinTeam,LossTeam
0,2010,20001,MTL,TOR,2,3,1,3,2,TOR,MTL
1,2010,20002,PHI,PIT,3,2,-1,2,3,PHI,PIT
2,2010,20003,CAR,MIN,4,3,-1,3,4,CAR,MIN
3,2010,20004,CHI,COL,3,4,1,4,3,COL,CHI
4,2010,20005,CGY,EDM,0,4,4,4,0,EDM,CGY
5,2010,20006,SJ,CBJ,3,2,-1,2,3,SJ,CBJ
6,2010,20007,DAL,NJ,4,3,-1,3,4,DAL,NJ
7,2010,20008,MIN,CAR,1,2,1,2,1,CAR,MIN
8,2010,20009,ANA,DET,0,4,4,4,0,DET,ANA
9,2010,20010,BUF,OTT,2,1,-1,1,2,BUF,OTT
10,2010,20011,WSH,ATL,2,4,2,4,2,ATL,WSH
11,2010,20012,PHX,BOS,5,2,-3,2,5,PHX,BOS
12,2010,20013,NYR,BUF,6,3,-3,3,6,NYR,BUF
13,2010,20014,OTT,TOR,1,5,4,5,1,TOR,OTT
14,2010,20015,DAL,NYI,5,4,-1,4,5,DAL,NYI
15,2010,20016,MTL,PIT,3,2,-1,2,3,MTL,PIT
16,2010,20017,NJ,WSH,2,7,5,7,2,WSH,NJ
17,2010,20018,ATL,TB,3,5,2,5,3,TB,ATL
18,2010,20019,PHI,STL,1,2,1,2,1,STL,PHI
19,2010,20020,ANA,NSH,1,4,3,4,1,NSH,ANA
20,2010,20021,DET,CHI,3,2,-1,2,3,DET,CHI
21,2010,20022,CBJ,SJ,3,2,-1,2,3,CBJ,SJ
22,2010,20023,LA,VAN,1,1,0,1,1,LA,VAN
23,2010,20024,BOS,PHX,3,0,-3,0,3,BOS,PHX
24,2010,20025,LA,CGY,1,3,2,3,1,CGY,LA
25,2010,20026,FLA,EDM,2,3,1,3,2,EDM,FLA
26,2010,20027,PIT,NJ,3,1,-2,1,3,PIT,NJ
27,2010,20028,NYR,NYI,4,6,2,6,4,NYI,NYR
28,2010,20029,ANA,STL,1,5,4,5,1,STL,ANA
29,2010,20030,CHI,BUF,4,3,-1,3,4,CHI,BUF
30,2010,20031,COL,PHI,2,4,2,4,2,PHI,COL
31,2010,20032,OTT,WSH,2,3,1,3,2,WSH,OTT
32,2010,20033,FLA,VAN,1,2,1,2,1,VAN,FLA
33,2010,20034,COL,DET,5,4,-1,4,5,COL,DET
34,2010,20035,ATL,LA,1,3,2,3,1,LA,ATL
35,2010,20036,NJ,BUF,1,0,-1,0,1,NJ,BUF
36,2010,20037,NYI,WSH,1,2,1,2,1,WSH,NYI
37,2010,20038,TB,MTL,4,3,-1,3,4,TB,MTL
38,2010,20039,TOR,PIT,4,3,-1,3,4,TOR,PIT
39,2010,20040,NSH,CHI,3,2,-1,2,3,NSH,CHI
40,2010,20041,VAN,ANA,3,4,1,4,3,ANA,VAN
41,2010,20042,TB,PHI,3,2,-1,2,3,TB,PHI
42,2010,20043,CAR,OTT,2,3,1,3,2,OTT,CAR
43,2010,20044,STL,NSH,3,4,1,4,3,NSH,STL
44,2010,20045,EDM,MIN,2,4,2,4,2,MIN,EDM
45,2010,20046,DET,DAL,1,4,3,4,1,DAL,DET
46,2010,20047,FLA,CGY,3,0,-3,0,3,FLA,CGY
47,2010,20048,COL,NJ,3,2,-1,2,3,COL,NJ
48,2010,20049,TOR,NYR,4,3,-1,3,4,TOR,NYR
49,2010,20050,NYI,PIT,2,3,1,3,2,PIT,NYI
50,2010,20051,CHI,CBJ,5,2,-3,2,5,CHI,CBJ
51,2010,20052,MTL,BUF,2,1,-1,1,2,MTL,BUF
52,2010,20053,ATL,ANA,5,4,-1,4,5,ATL,ANA
53,2010,20054,VAN,LA,1,4,3,4,1,LA,VAN
54,2010,20055,OTT,MTL,3,4,1,4,3,MTL,OTT
