,Season,GameNumber,VF1,VF2,VD1,VD2,HF1,HF2,HD1,HD2
0,2010,20001,2.0,10.0,1.0,5.0,2.0,10.0,1.0,5.0
1,2010,20002,5.0,7.0,2.0,4.0,5.0,7.0,3.0,3.0
2,2010,20003,3.0,9.0,1.0,5.0,2.0,10.0,1.0,5.0
3,2010,20004,4.0,8.0,2.0,4.0,2.0,10.0,1.0,5.0
4,2010,20005,3.0,9.0,1.0,5.0,0.0,12.0,1.0,5.0
5,2010,20006,2.0,10.0,0.0,6.0,6.0,6.0,3.0,3.0
6,2010,20008,3.0,9.0,1.0,5.0,2.0,10.0,1.0,5.0
7,2010,20009,5.0,7.0,2.0,4.0,5.0,7.0,3.0,3.0
8,2010,20010,4.0,8.0,2.0,4.0,0.0,12.0,1.0,5.0
9,2010,20012,5.0,7.0,3.0,3.0,4.0,8.0,2.0,4.0
10,2010,20013,4.0,8.0,2.0,4.0,4.0,8.0,2.0,4.0
11,2010,20014,1.0,11.0,1.0,5.0,2.0,10.0,1.0,5.0
12,2010,20015,3.0,9.0,1.0,5.0,1.0,11.0,0.0,6.0
13,2010,20016,3.0,9.0,1.0,5.0,5.0,7.0,3.0,3.0
14,2010,20019,5.0,7.0,2.0,4.0,3.0,9.0,1.0,5.0
15,2010,20020,5.0,7.0,2.0,4.0,3.0,9.0,2.0,4.0
16,2010,20021,3.0,9.0,2.0,4.0,5.0,7.0,3.0,3.0
17,2010,20023,5.0,7.0,2.0,4.0,4.0,8.0,3.0,3.0
18,2010,20024,5.0,7.0,3.0,3.0,4.0,8.0,2.0,4.0
19,2010,20025,3.0,9.0,1.0,5.0,5.0,7.0,2.0,4.0
20,2010,20026,0.0,12.0,1.0,5.0,0.0,12.0,1.0,5.0
21,2010,20028,0.0,12.0,0.0,6.0,4.0,8.0,2.0,4.0
22,2010,20029,5.0,7.0,2.0,4.0,3.0,9.0,1.0,5.0
23,2010,20030,4.0,8.0,2.0,4.0,4.0,8.0,2.0,4.0
24,2010,20031,2.0,10.0,1.0,5.0,5.0,7.0,3.0,3.0
25,2010,20032,1.0,11.0,1.0,5.0,5.0,7.0,3.0,3.0
26,2010,20033,0.0,12.0,1.0,5.0,4.0,8.0,3.0,3.0
27,2010,20034,2.0,10.0,1.0,5.0,5.0,7.0,2.0,4.0
28,2010,20037,0.0,12.0,0.0,6.0,5.0,7.0,3.0,3.0
29,2010,20038,3.0,9.0,1.0,5.0,3.0,9.0,0.0,6.0
30,2010,20039,5.0,7.0,2.0,4.0,2.0,10.0,1.0,5.0
31,2010,20040,4.0,8.0,2.0,4.0,2.0,10.0,2.0,4.0
32,2010,20041,5.0,7.0,2.0,4.0,4.0,8.0,3.0,3.0
33,2010,20043,3.0,9.0,1.0,5.0,1.0,11.0,1.0,5.0
34,2010,20044,3.0,9.0,2.0,4.0,3.0,9.0,1.0,5.0
35,2010,20045,0.0,12.0,1.0,5.0,2.0,10.0,1.0,5.0
36,2010,20046,3.0,9.0,1.0,5.0,5.0,7.0,2.0,4.0
37,2010,20047,3.0,9.0,1.0,5.0,0.0,12.0,1.0,5.0
38,2010,20048,2.0,10.0,1.0,5.0,3.0,9.0,0.0,6.0
39,2010,20049,4.0,8.0,2.0,4.0,2.0,10.0,1.0,5.0
40,2010,20050,0.0,12.0,0.0,6.0,5.0,7.0,2.0,4.0
41,2010,20052,3.0,9.0,2.0,4.0,3.0,9.0,1.0,5.0
42,2010,20054,5.0,7.0,2.0,4.0,4.0,8.0,3.0,3.0
43,2010,20055,3.0,9.0,1.0,5.0,1.0,11.0,1.0,5.0
44,2010,20056,5.0,7.0,3.0,3.0,3.0,9.0,0.0,6.0
45,2010,20057,2.0,10.0,1.0,5.0,1.0,11.0,0.0,6.0
46,2010,20058,5.0,7.0,3.0,3.0,5.0,7.0,2.0,4.0
47,2010,20059,0.0,12.0,1.0,5.0,3.0,9.0,0.0,6.0
