,Season,TeamCode,PlayerNumber,PlayerPosition,Rank
9607,2010,ANA,11,C,1
186052,2010,ANA,12,C,2
2264542,2010,ANA,14,C,2
9625,2010,ANA,15,C,1
1609648,2010,ANA,20,C,2
9649,2010,ANA,22,C,2
9667,2010,ANA,28,C,2
1737189,2010,ANA,51,C,2
1737183,2010,ANA,63,C,2
1890749,2010,ANA,64,C,2
1609651,2010,ANA,3,D,2
310223,2010,ANA,4,D,2
23361,2010,ANA,5,D,2
9640,2010,ANA,17,D,1
9670,2010,ANA,21,D,2
9610,2010,ANA,23,D,2
1027177,2010,ANA,24,D,2
9641,2010,ANA,25,D,2
92890,2010,ANA,26,D,2
1593557,2010,ANA,32,D,2
33759,2010,ANA,53,D,2
9611,2010,ANA,54,D,2
9671,2010,ANA,60,D,2
9612,2010,ANA,1,G,1
2821033,2010,ANA,29,G,2
1094883,2010,ANA,30,G,2
34316,2010,ANA,31,G,2
2677757,2010,ANA,38,G,2
2719729,2010,ANA,19,L,2
9609,2010,ANA,33,L,2
23360,2010,ANA,34,L,2
1094456,2010,ANA,37,L,2
9651,2010,ANA,39,L,2
9608,2010,ANA,8,R,1
9626,2010,ANA,9,R,1
9627,2010,ANA,10,R,1
9674,2010,ANA,16,R,2
2010516,2010,ANA,19,R,2
9668,2010,ANA,42,R,2
9650,2010,ANA,50,R,2
1543880,2010,ATL,8,C,2
2706005,2010,ATL,13,C,2
61887,2010,ATL,23,C,2
657209,2010,ATL,45,C,2
1543808,2010,ATL,47,C,2
2705825,2010,ATL,49,C,2
1543832,2010,ATL,80,C,2
1543865,2010,ATL,3,D,2
1543835,2010,ATL,4,D,2
1088041,2010,ATL,5,D,2
1543866,2010,ATL,6,D,2
61872,2010,ATL,24,D,2
145358,2010,ATL,26,D,2
1543836,2010,ATL,29,D,2
431304,2010,ATL,33,D,1
1245333,2010,ATL,38,D,2
1543812,2010,ATL,39,D,1
977724,2010,ATL,44,D,2
1481965,2010,ATL,51,D,2
1543813,2010,ATL,31,G,2
1644085,2010,ATL,34,G,2
1543891,2010,ATL,50,G,2
1543811,2010,ATL,9,L,2
1119309,2010,ATL,12,L,2
1543833,2010,ATL,15,L,2
1543864,2010,ATL,16,L,1
1543834,2010,ATL,19,L,2
1543876,2010,ATL,21,L,2
1643969,2010,ATL,36,L,2
3058866,2010,ATL,48,L,2
1543856,2010,ATL,10,R,2
465206,2010,ATL,14,R,2
1543863,2010,ATL,18,R,2
2705855,2010,ATL,20,R,2
1543809,2010,ATL,22,R,2
1087996,2010,ATL,26,R,2
1543881,2010,ATL,27,R,2
1543810,2010,ATL,33,R,2
767294,2010,ATL,46,R,2
1545263,2010,BOS,11,C,2
1545239,2010,BOS,19,C,2
1083001,2010,BOS,23,C,2
1545209,2010,BOS,37,C,1
1545185,2010,BOS,46,C,1
1124286,2010,BOS,49,C,2
2501952,2010,BOS,52,C,2
1545264,2010,BOS,63,C,1
419095,2010,BOS,72,C,2
1973704,2010,BOS,91,C,2
1082985,2010,BOS,12,D,2
1545218,2010,BOS,21,D,2
1545219,2010,BOS,33,D,1
2979921,2010,BOS,34,D,2
773610,2010,BOS,43,D,2
1545188,2010,BOS,44,D,1
1545249,2010,BOS,45,D,2
2030886,2010,BOS,47,D,2
1545189,2010,BOS,48,D,2
1684353,2010,BOS,54,D,2
1545231,2010,BOS,55,D,2
27748,2010,BOS,30,G,1
1545190,2010,BOS,40,G,2
1545187,2010,BOS,17,L,1
1545253,2010,BOS,20,L,2
1545265,2010,BOS,22,L,2
1545186,2010,BOS,18,R,1
1545216,2010,BOS,26,R,2
1545210,2010,BOS,28,R,2
27769,2010,BOS,38,R,2
1545241,2010,BOS,73,R,2
11009,2010,BUF,8,C,2
10949,2010,BUF,9,C,1
10991,2010,BUF,19,C,2
10955,2010,BUF,20,C,2
897349,2010,BUF,24,C,2
11010,2010,BUF,28,C,2
1546589,2010,BUF,42,C,2
10956,2010,BUF,55,C,2
10950,2010,BUF,63,C,2
139120,2010,BUF,72,C,2
10958,2010,BUF,3,D,2
10977,2010,BUF,4,D,2
118080,2010,BUF,6,D,2
861864,2010,BUF,17,D,2
10952,2010,BUF,27,D,2
1592399,2010,BUF,34,D,2
10995,2010,BUF,44,D,2
11013,2010,BUF,52,D,2
10953,2010,BUF,57,D,1
1727373,2010,BUF,1,G,2
10954,2010,BUF,30,G,1
73101,2010,BUF,40,G,2
1904258,2010,BUF,23,L,2
10975,2010,BUF,26,L,1
226334,2010,BUF,37,L,2
1237046,2010,BUF,10,R,2
486876,2010,BUF,12,R,2
10951,2010,BUF,21,R,1
1170209,2010,BUF,22,R,2
10957,2010,BUF,25,R,2
10992,2010,BUF,29,R,1
11011,2010,BUF,36,R,2
2624,2010,CAR,8,C,2
2588,2010,CAR,12,C,1
2606,2010,CAR,16,C,2
188667,2010,CAR,18,C,2
163700,2010,CAR,19,C,2
2625,2010,CAR,22,C,2
1906895,2010,CAR,29,C,2
2576,2010,CAR,53,C,1
2597,2010,CAR,4,D,2
2704353,2010,CAR,5,D,2
2598,2010,CAR,6,D,2
332296,2010,CAR,7,D,2
2579,2010,CAR,25,D,2
217688,2010,CAR,27,D,1
554752,2010,CAR,28,D,2
2609,2010,CAR,33,D,2
2610,2010,CAR,44,D,2
2580,2010,CAR,77,D,1
2581,2010,CAR,30,G,1
95350,2010,CAR,60,G,2
2112786,2010,CAR,11,L,2
50673,2010,CAR,14,L,2
2608,2010,CAR,21,L,2
2590,2010,CAR,26,L,2
2578,2010,CAR,36,L,2
1031957,2010,CAR,42,L,2
2669067,2010,CAR,61,L,2
2577,2010,CAR,15,R,1
332349,2010,CAR,20,R,2
2626,2010,CAR,29,R,2
2607,2010,CAR,39,R,2
2589,2010,CAR,59,R,2
1041324,2010,CAR,71,R,2
1538145,2010,CBJ,16,C,2
1807692,2010,CBJ,17,C,2
1538103,2010,CBJ,18,C,1
1538151,2010,CBJ,24,C,2
1641559,2010,CBJ,25,C,2
1538104,2010,CBJ,26,C,2
1538127,2010,CBJ,50,C,2
70853,2010,CBJ,2,D,2
1538106,2010,CBJ,3,D,2
1180490,2010,CBJ,4,D,2
1538130,2010,CBJ,6,D,2
2510532,2010,CBJ,7,D,2
25743,2010,CBJ,10,D,2
2317468,2010,CBJ,14,D,2
1538148,2010,CBJ,22,D,2
1624615,2010,CBJ,29,D,2
1538131,2010,CBJ,35,D,2
1538149,2010,CBJ,51,D,2
1206926,2010,CBJ,52,D,2
1538107,2010,CBJ,97,D,2
1538108,2010,CBJ,1,G,2
2999475,2010,CBJ,31,G,2
70807,2010,CBJ,32,G,2
752103,2010,CBJ,11,L,2
1538105,2010,CBJ,19,L,2
1538128,2010,CBJ,20,L,2
2055518,2010,CBJ,23,L,2
1538147,2010,CBJ,28,L,2
1538129,2010,CBJ,61,L,1
1180488,2010,CBJ,8,R,2
2779459,2010,CBJ,9,R,2
1807693,2010,CBJ,12,R,2
1538152,2010,CBJ,15,R,2
1435405,2010,CBJ,33,R,2
1538153,2010,CBJ,40,R,2
1380486,2010,CBJ,43,R,2
1591252,2010,CBJ,71,R,2
1538146,2010,CBJ,93,R,2
5126,2010,CGY,8,C,2
5138,2010,CGY,11,C,2
5108,2010,CGY,13,C,1
1586954,2010,CGY,18,C,2
1446255,2010,CGY,22,C,2
1560777,2010,CGY,24,C,2
5111,2010,CGY,3,D,2
5129,2010,CGY,4,D,2
5130,2010,CGY,5,D,1
1607090,2010,CGY,6,D,2
5136,2010,CGY,7,D,2
1586974,2010,CGY,27,D,2
5112,2010,CGY,28,D,2
109878,2010,CGY,29,D,2
1870942,2010,CGY,33,D,2
5148,2010,CGY,66,D,2
5113,2010,CGY,34,G,1
109855,2010,CGY,35,G,2
5128,2010,CGY,10,L,2
2738590,2010,CGY,19,L,2
5140,2010,CGY,20,L,2
5110,2010,CGY,40,L,1
5168,2010,CGY,41,L,2
5169,2010,CGY,42,L,2
5170,2010,CGY,44,L,2
2514146,2010,CGY,57,L,2
5109,2010,CGY,12,R,1
5139,2010,CGY,15,R,2
1870926,2010,CGY,16,R,2
5127,2010,CGY,17,R,2
1734981,2010,CGY,25,R,2
477808,2010,CGY,26,R,2
1370417,2010,CGY,48,R,2
1556152,2010,CHI,14,C,2
178180,2010,CHI,16,C,2
2105713,2010,CHI,17,C,2
3932,2010,CHI,19,C,1
3986,2010,CHI,28,C,2
3974,2010,CHI,36,C,2
1657997,2010,CHI,47,C,2
2028523,2010,CHI,59,C,2
3935,2010,CHI,2,D,1
3947,2010,CHI,4,D,2
59485,2010,CHI,5,D,2
3971,2010,CHI,6,D,2
3936,2010,CHI,7,D,1
3948,2010,CHI,8,D,2
2718580,2010,CHI,14,D,2
1556156,2010,CHI,24,D,2
3972,2010,CHI,32,D,2
187267,2010,CHI,51,D,2
3937,2010,CHI,30,G,2
34678,2010,CHI,50,G,2
1034327,2010,CHI,23,L,2
3988,2010,CHI,25,L,2
231515,2010,CHI,27,L,2
3976,2010,CHI,29,L,2
