,Season,GameNumber,TeamCode,RosterCount,D1,D2,F1,F2
0,2010,20001,MTL,18.0,1.0,5.0,2.0,10.0
1,2010,20001,TOR,18.0,1.0,5.0,2.0,10.0
2,2010,20002,PHI,18.0,2.0,4.0,5.0,7.0
3,2010,20002,PIT,18.0,3.0,3.0,5.0,7.0
4,2010,20003,CAR,18.0,1.0,5.0,3.0,9.0
5,2010,20003,MIN,18.0,1.0,5.0,2.0,10.0
6,2010,20004,CHI,18.0,2.0,4.0,4.0,8.0
7,2010,20004,COL,18.0,1.0,5.0,2.0,10.0
8,2010,20005,CGY,18.0,1.0,5.0,3.0,9.0
9,2010,20005,EDM,18.0,1.0,5.0,0.0,12.0
10,2010,20006,CBJ,18.0,0.0,6.0,2.0,10.0
11,2010,20006,SJ,18.0,3.0,3.0,6.0,6.0
12,2010,20008,CAR,18.0,1.0,5.0,3.0,9.0
13,2010,20008,MIN,18.0,1.0,5.0,2.0,10.0
14,2010,20009,ANA,18.0,2.0,4.0,5.0,7.0
15,2010,20009,DET,18.0,3.0,3.0,5.0,7.0
16,2010,20010,BUF,18.0,2.0,4.0,4.0,8.0
17,2010,20010,OTT,18.0,1.0,5.0,0.0,12.0
18,2010,20012,BOS,18.0,3.0,3.0,5.0,7.0
19,2010,20012,PHX,18.0,2.0,4.0,4.0,8.0
20,2010,20013,BUF,18.0,2.0,4.0,4.0,8.0
21,2010,20013,NYR,18.0,2.0,4.0,4.0,8.0
22,2010,20014,OTT,18.0,1.0,5.0,1.0,11.0
23,2010,20014,TOR,18.0,1.0,5.0,2.0,10.0
24,2010,20015,DAL,18.0,1.0,5.0,3.0,9.0
25,2010,20015,NYI,18.0,0.0,6.0,1.0,11.0
26,2010,20016,MTL,18.0,1.0,5.0,3.0,9.0
27,2010,20016,PIT,18.0,3.0,3.0,5.0,7.0
28,2010,20019,PHI,18.0,2.0,4.0,5.0,7.0
29,2010,20019,STL,18.0,1.0,5.0,3.0,9.0
30,2010,20020,ANA,18.0,2.0,4.0,5.0,7.0
31,2010,20020,NSH,18.0,2.0,4.0,3.0,9.0
32,2010,20021,CHI,18.0,2.0,4.0,3.0,9.0
33,2010,20021,DET,18.0,3.0,3.0,5.0,7.0
34,2010,20023,LA,18.0,2.0,4.0,5.0,7.0
35,2010,20023,VAN,18.0,3.0,3.0,4.0,8.0
36,2010,20024,BOS,18.0,3.0,3.0,5.0,7.0
37,2010,20024,PHX,18.0,2.0,4.0,4.0,8.0
38,2010,20025,CGY,18.0,1.0,5.0,3.0,9.0
39,2010,20025,LA,18.0,2.0,4.0,5.0,7.0
40,2010,20026,EDM,18.0,1.0,5.0,0.0,12.0
41,2010,20026,FLA,18.0,1.0,5.0,0.0,12.0
42,2010,20028,NYI,18.0,0.0,6.0,0.0,12.0
43,2010,20028,NYR,18.0,2.0,4.0,4.0,8.0
44,2010,20029,ANA,18.0,2.0,4.0,5.0,7.0
45,2010,20029,STL,18.0,1.0,5.0,3.0,9.0
46,2010,20030,BUF,18.0,2.0,4.0,4.0,8.0
47,2010,20030,CHI,18.0,2.0,4.0,4.0,8.0
48,2010,20031,COL,18.0,1.0,5.0,2.0,10.0
49,2010,20031,PHI,18.0,3.0,3.0,5.0,7.0
50,2010,20032,OTT,18.0,1.0,5.0,1.0,11.0
51,2010,20032,WSH,18.0,3.0,3.0,5.0,7.0
52,2010,20033,FLA,18.0,1.0,5.0,0.0,12.0
53,2010,20033,VAN,18.0,3.0,3.0,4.0,8.0
54,2010,20034,COL,18.0,1.0,5.0,2.0,10.0
55,2010,20034,DET,18.0,2.0,4.0,5.0,7.0
56,2010,20037,NYI,18.0,0.0,6.0,0.0,12.0
57,2010,20037,WSH,18.0,3.0,3.0,5.0,7.0
58,2010,20038,MTL,18.0,1.0,5.0,3.0,9.0
59,2010,20038,TB,18.0,0.0,6.0,3.0,9.0
60,2010,20039,PIT,18.0,2.0,4.0,5.0,7.0
61,2010,20039,TOR,18.0,1.0,5.0,2.0,10.0
62,2010,20040,CHI,18.0,2.0,4.0,4.0,8.0
63,2010,20040,NSH,18.0,2.0,4.0,2.0,10.0
64,2010,20041,ANA,18.0,2.0,4.0,5.0,7.0
65,2010,20041,VAN,18.0,3.0,3.0,4.0,8.0
66,2010,20043,CAR,18.0,1.0,5.0,3.0,9.0
67,2010,20043,OTT,18.0,1.0,5.0,1.0,11.0
68,2010,20044,NSH,18.0,2.0,4.0,3.0,9.0
69,2010,20044,STL,18.0,1.0,5.0,3.0,9.0
70,2010,20045,EDM,18.0,1.0,5.0,0.0,12.0
71,2010,20045,MIN,18.0,1.0,5.0,2.0,10.0
72,2010,20046,DAL,18.0,1.0,5.0,3.0,9.0
73,2010,20046,DET,18.0,2.0,4.0,5.0,7.0
74,2010,20047,CGY,18.0,1.0,5.0,3.0,9.0
75,2010,20047,FLA,18.0,1.0,5.0,0.0,12.0
