,Season,GameNumber,VTeamCode,HTeamCode,HGF,VGF,GD,WinTeam
0,2010,20001,MTL,TOR,3,2,1,HOME
1,2010,20002,PHI,PIT,2,3,-1,AWAY
2,2010,20003,CAR,MIN,3,4,-1,AWAY
3,2010,20004,CHI,COL,4,3,1,HOME
4,2010,20005,CGY,EDM,4,0,4,HOME
5,2010,20006,SJ,CBJ,2,3,-1,AWAY
6,2010,20007,DAL,NJ,3,4,-1,AWAY
7,2010,20008,MIN,CAR,2,1,1,HOME
8,2010,20009,ANA,DET,4,0,4,HOME
9,2010,20010,BUF,OTT,1,2,-1,AWAY
10,2010,20011,WSH,ATL,4,2,2,HOME
11,2010,20012,PHX,BOS,2,5,-3,AWAY
12,2010,20013,NYR,BUF,3,6,-3,AWAY
13,2010,20014,OTT,TOR,5,1,4,HOME
14,2010,20015,DAL,NYI,4,5,-1,AWAY
15,2010,20016,MTL,PIT,2,3,-1,AWAY
16,2010,20017,NJ,WSH,7,2,5,HOME
17,2010,20018,ATL,TB,5,3,2,HOME
18,2010,20019,PHI,STL,2,1,1,HOME
19,2010,20020,ANA,NSH,4,1,3,HOME
20,2010,20021,DET,CHI,2,3,-1,AWAY
21,2010,20022,CBJ,SJ,2,3,-1,AWAY
22,2010,20023,LA,VAN,1,1,0,AWAY
23,2010,20024,BOS,PHX,0,3,-3,AWAY
24,2010,20025,LA,CGY,3,1,2,HOME
25,2010,20026,FLA,EDM,3,2,1,HOME
26,2010,20027,PIT,NJ,1,3,-2,AWAY
27,2010,20028,NYR,NYI,6,4,2,HOME
28,2010,20029,ANA,STL,5,1,4,HOME
29,2010,20030,CHI,BUF,3,4,-1,AWAY
30,2010,20031,COL,PHI,4,2,2,HOME
31,2010,20032,OTT,WSH,3,2,1,HOME
32,2010,20033,FLA,VAN,2,1,1,HOME
33,2010,20034,COL,DET,4,5,-1,AWAY
34,2010,20035,ATL,LA,3,1,2,HOME
35,2010,20036,NJ,BUF,0,1,-1,AWAY
36,2010,20037,NYI,WSH,2,1,1,HOME
37,2010,20038,TB,MTL,3,4,-1,AWAY
38,2010,20039,TOR,PIT,3,4,-1,AWAY
39,2010,20040,NSH,CHI,2,3,-1,AWAY
40,2010,20041,VAN,ANA,4,3,1,HOME
41,2010,20042,TB,PHI,2,3,-1,AWAY
42,2010,20043,CAR,OTT,3,2,1,HOME
43,2010,20044,STL,NSH,4,3,1,HOME
44,2010,20045,EDM,MIN,4,2,2,HOME
45,2010,20046,DET,DAL,4,1,3,HOME
46,2010,20047,FLA,CGY,0,3,-3,AWAY
47,2010,20048,COL,NJ,2,3,-1,AWAY
48,2010,20049,TOR,NYR,3,4,-1,AWAY
49,2010,20050,NYI,PIT,3,2,1,HOME
50,2010,20051,CHI,CBJ,2,5,-3,AWAY
51,2010,20052,MTL,BUF,1,2,-1,AWAY
52,2010,20053,ATL,ANA,4,5,-1,AWAY
53,2010,20054,VAN,LA,4,1,3,HOME
54,2010,20055,OTT,MTL,4,3,1,HOME
55,2010,20056,BOS,NJ,1,4,-3,AWAY
56,2010,20057,COL,NYI,5,2,3,HOME
57,2010,20058,PIT,PHI,1,5,-4,AWAY
58,2010,20059,TB,FLA,6,0,6,HOME
59,2010,20060,WSH,NSH,2,3,-1,AWAY
60,2010,20061,CBJ,MIN,2,3,-1,AWAY
61,2010,20062,STL,DAL,5,3,2,HOME
62,2010,20063,BUF,CHI,4,3,1,HOME
63,2010,20064,DET,PHX,1,2,-1,AWAY
64,2010,20065,EDM,CGY,5,3,2,HOME
65,2010,20066,ATL,SJ,2,4,-2,AWAY
66,2010,20067,PHX,ANA,3,2,1,HOME
67,2010,20068,CAR,VAN,5,1,4,HOME
68,2010,20069,NYI,TOR,1,2,-1,AWAY
69,2010,20070,COL,NYR,1,3,-2,AWAY
70,2010,20071,OTT,PIT,5,2,3,HOME
71,2010,20072,DAL,TB,5,4,1,HOME
72,2010,20073,STL,CHI,3,2,1,HOME
73,2010,20074,BOS,WSH,1,3,-2,AWAY
74,2010,20075,CGY,NSH,0,1,-1,AWAY
75,2010,20076,VAN,MIN,6,2,4,HOME
76,2010,20077,CAR,SJ,2,5,-3,AWAY
77,2010,20078,BUF,ATL,1,4,-3,AWAY
78,2010,20079,ANA,CBJ,3,1,2,HOME
79,2010,20080,VAN,CHI,4,3,1,HOME
80,2010,20081,CAR,LA,4,3,1,HOME
81,2010,20082,WSH,BOS,4,1,3,HOME
82,2010,20083,NYR,TOR,1,2,-1,AWAY
83,2010,20084,ANA,PHI,2,3,-1,AWAY
84,2010,20085,CGY,DET,4,2,2,HOME
85,2010,20086,NJ,MTL,0,3,-3,AWAY
86,2010,20087,NYI,TB,2,3,-1,AWAY
87,2010,20088,DAL,FLA,1,4,-3,AWAY
88,2010,20089,PIT,NSH,3,4,-1,AWAY
89,2010,20090,SJ,COL,2,4,-2,AWAY
90,2010,20091,MIN,EDM,2,4,-2,AWAY
91,2010,20092,LA,PHX,4,2,2,HOME
92,2010,20093,CGY,CBJ,2,6,-4,AWAY
93,2010,20094,OTT,BUF,2,4,-2,AWAY
94,2010,20095,TB,ATL,2,5,-3,AWAY
95,2010,20096,CHI,STL,4,2,2,HOME
96,2010,20097,MIN,VAN,5,1,4,HOME
97,2010,20098,NYR,BOS,2,3,-1,AWAY
98,2010,20099,MTL,OTT,0,3,-3,AWAY
99,2010,20100,BUF,NJ,1,6,-5,AWAY
100,2010,20101,TOR,PHI,5,2,3,HOME
101,2010,20102,ATL,WSH,4,3,1,HOME
102,2010,20103,NYI,FLA,4,3,1,HOME
103,2010,20104,ANA,DET,5,4,1,HOME
104,2010,20105,PIT,STL,1,0,1,HOME
105,2010,20106,NSH,DAL,0,1,-1,AWAY
106,2010,20107,CBJ,CHI,2,3,-1,AWAY
107,2010,20108,LA,COL,4,6,-2,AWAY
108,2010,20109,CAR,PHX,3,4,-1,AWAY
109,2010,20110,SJ,EDM,1,6,-5,AWAY
110,2010,20111,NSH,TB,3,4,-1,AWAY
111,2010,20112,NJ,NYR,3,1,2,HOME
112,2010,20113,SJ,CGY,4,0,4,HOME
113,2010,20114,PHI,CBJ,2,1,1,HOME
114,2010,20115,PHX,MTL,3,2,1,HOME
115,2010,20116,LA,MIN,4,5,-1,AWAY
116,2010,20117,FLA,TOR,3,1,2,HOME
117,2010,20118,BUF,PHI,6,3,3,HOME
118,2010,20119,PHX,OTT,5,2,3,HOME
119,2010,20120,EDM,CGY,5,4,1,HOME
120,2010,20121,ANA,DAL,2,5,-3,AWAY
121,2010,20122,COL,VAN,4,3,1,HOME
122,2010,20123,ATL,NYR,4,6,-2,AWAY
123,2010,20124,WSH,CAR,0,3,-3,AWAY
124,2010,20125,NYI,MTL,5,3,2,HOME
125,2010,20126,PIT,TB,5,3,2,HOME
126,2010,20127,LA,CHI,3,1,2,HOME
127,2010,20128,NJ,SJ,5,2,3,HOME
128,2010,20129,TOR,BOS,2,0,2,HOME
129,2010,20130,PHX,DET,2,4,-2,AWAY
130,2010,20131,EDM,CBJ,4,2,2,HOME
131,2010,20132,FLA,OTT,5,3,2,HOME
132,2010,20133,STL,NSH,0,3,-3,AWAY
