,Season,TeamCode,GP,GW,GL,L,W,WinPc,LossPc,Mean_Blocks_For,Mean_Faceoffs_For,Mean_Giveaways_For,Mean_Goals_For,Mean_Hits_For,Mean_Misses_For,Mean_Penalties_For,Mean_Shots_For,Mean_Takeaways_For,Mean_Blocks_Against,Mean_Faceoffs_Against,Mean_Giveaways_Against,Mean_Goals_Against,Mean_Hits_Against,Mean_Misses_Against,Mean_Penalties_Against,Mean_Shots_Against,Mean_Takeaways_Against,Rank_W
18576,2010,VAN,73,40,25,25,48,0.6575342465753424,0.3424657534246575,13.10958904109589,32.64383561643836,6.8493150684931505,3.26027397260274,22.28767123287671,12.58904109589041,4.712328767123288,29.52054794520548,7.342465753424658,15.41095890410959,26.73972602739726,7.493150684931507,2.3972602739726026,22.904109589041095,11.273972602739725,4.657534246575342,28.123287671232877,7.191780821917808,1.0
90,2010,SJ,65,41,44,24,41,0.6307692307692307,0.36923076923076925,14.36923076923077,31.784615384615385,10.2,3.169230769230769,21.93846153846154,13.569230769230769,4.384615384615385,31.892307692307693,8.430769230769231,15.8,27.0,9.892307692307693,2.4307692307692306,24.092307692307692,11.4,4.446153846153846,26.6,6.984615384615385,2.0
18432,2010,BOS,76,38,31,31,45,0.5921052631578947,0.40789473684210525,14.421052631578947,30.18421052631579,6.644736842105263,3.0,21.11842105263158,11.789473684210526,4.671052631578948,29.82894736842105,5.197368421052632,15.802631578947368,27.907894736842106,8.342105263157896,2.3157894736842106,24.210526315789473,11.43421052631579,4.684210526315789,30.5,7.7631578947368425,3.0
18396,2010,DET,68,40,27,28,40,0.5882352941176471,0.4117647058823529,11.058823529411764,30.91176470588235,8.897058823529411,3.235294117647059,21.514705882352942,13.544117647058824,4.132352941176471,30.63235294117647,7.102941176470588,13.852941176470589,28.647058823529413,7.470588235294118,2.9558823529411766,23.544117647058822,11.279411764705882,4.1911764705882355,27.926470588235293,7.220588235294118,4.0
126,2010,ANA,65,40,27,27,38,0.5846153846153846,0.4153846153846154,15.507692307692308,27.246153846153845,7.446153846153846,2.8615384615384616,23.215384615384615,10.538461538461538,5.230769230769231,25.56923076923077,5.323076923076923,10.338461538461539,29.76923076923077,8.984615384615385,2.7846153846153845,21.815384615384616,14.538461538461538,4.7384615384615385,31.307692307692307,6.1692307692307695,5.0
18720,2010,WSH,72,42,44,30,42,0.5833333333333334,0.4166666666666667,15.583333333333334,30.430555555555557,8.222222222222221,2.638888888888889,22.84722222222222,12.11111111111111,4.430555555555555,28.77777777777778,7.888888888888889,15.625,28.958333333333332,8.01388888888889,2.3472222222222223,23.22222222222222,11.791666666666666,4.083333333333333,26.916666666666668,6.916666666666667,6.0
306,2010,LA,70,40,25,30,40,0.5714285714285714,0.42857142857142855,12.642857142857142,29.814285714285713,10.3,2.7714285714285714,25.757142857142856,13.157142857142857,4.428571428571429,26.457142857142856,5.4714285714285715,14.814285714285715,28.142857142857142,9.628571428571428,2.5428571428571427,28.571428571428573,12.157142857142857,4.671428571428572,26.285714285714285,5.285714285714286,7.0
18,2010,PHI,72,41,31,31,41,0.5694444444444444,0.4305555555555556,16.069444444444443,30.083333333333332,7.986111111111111,3.263888888888889,23.47222222222222,11.73611111111111,5.083333333333333,28.625,7.097222222222222,14.958333333333334,30.069444444444443,7.861111111111111,2.875,22.194444444444443,12.73611111111111,4.930555555555555,27.819444444444443,7.708333333333333,8.0
18288,2010,PIT,71,41,31,31,40,0.5633802816901409,0.43661971830985913,13.450704225352112,28.47887323943662,6.253521126760563,2.8732394366197185,28.154929577464788,11.95774647887324,5.985915492957746,29.507042253521128,5.535211267605634,16.0,29.408450704225352,5.859154929577465,2.535211267605634,25.12676056338028,10.704225352112676,5.816901408450704,26.535211267605632,5.901408450704225,9.0
180,2010,NYR,73,41,30,32,41,0.5616438356164384,0.4383561643835616,15.753424657534246,26.89041095890411,5.164383561643835,3.0547945205479454,28.15068493150685,11.534246575342467,4.712328767123288,27.726027397260275,7.301369863013699,12.808219178082192,29.273972602739725,6.863013698630137,2.4246575342465753,27.054794520547944,10.95890410958904,5.219178082191781,27.561643835616437,6.712328767123288,10.0
