,Season,TeamCode,GP,GW,GL,WinPc,LossPc,Rank
24,2010,VAN,82,54,28,0.6585365853658537,0.34146341463414637,1.0
21,2010,PIT,82,49,33,0.5975609756097561,0.4024390243902439,2.0
5,2010,SJ,82,48,34,0.5853658536585366,0.4146341463414634,3.5
13,2010,WSH,82,48,34,0.5853658536585366,0.4146341463414634,3.5
26,2010,ANA,82,47,35,0.573170731707317,0.4268292682926829,6.0
7,2010,DET,82,47,35,0.573170731707317,0.4268292682926829,6.0
1,2010,PHI,82,47,35,0.573170731707317,0.4268292682926829,6.0
19,2010,BOS,82,46,36,0.5609756097560976,0.43902439024390244,9.0
18,2010,LA,82,46,36,0.5609756097560976,0.43902439024390244,9.0
14,2010,TB,82,46,36,0.5609756097560976,0.43902439024390244,9.0
23,2010,CHI,82,44,38,0.5365853658536586,0.4634146341463415,12.5
12,2010,MTL,82,44,38,0.5365853658536586,0.4634146341463415,12.5
16,2010,NSH,82,44,38,0.5365853658536586,0.4634146341463415,12.5
11,2010,NYR,82,44,38,0.5365853658536586,0.4634146341463415,12.5
8,2010,BUF,82,43,39,0.524390243902439,0.47560975609756095,15.5
10,2010,PHX,82,43,39,0.524390243902439,0.47560975609756095,15.5
6,2010,DAL,82,42,40,0.5121951219512195,0.4878048780487805,17.0
20,2010,CGY,82,41,41,0.5,0.5,18.0
2,2010,CAR,82,40,42,0.4878048780487805,0.5121951219512195,19.0
28,2010,MIN,82,39,43,0.47560975609756095,0.524390243902439,20.0
25,2010,NJ,82,38,44,0.4634146341463415,0.5365853658536586,21.5
15,2010,STL,82,38,44,0.4634146341463415,0.5365853658536586,21.5
0,2010,TOR,82,37,45,0.45121951219512196,0.5487804878048781,23.0
9,2010,ATL,82,34,48,0.4146341463414634,0.5853658536585366,24.5
17,2010,CBJ,82,34,48,0.4146341463414634,0.5853658536585366,24.5
27,2010,OTT,82,32,50,0.3902439024390244,0.6097560975609756,26.0
3,2010,COL,82,30,52,0.36585365853658536,0.6341463414634146,28.0
29,2010,FLA,82,30,52,0.36585365853658536,0.6341463414634146,28.0
22,2010,NYI,82,30,52,0.36585365853658536,0.6341463414634146,28.0
4,2010,EDM,82,25,57,0.3048780487804878,0.6951219512195121,30.0
