,Season,TeamCode,GP,W,L,WinPc,LossPc,Mean_F,Mean_D,Rank_W,Rank_F,Rank_D
45,2010,VAN,81,53,28,0.654320987654321,0.345679012345679,1.60035540591096,1.7372134038800704,1.0,4.0,13.0
3,2010,PIT,82,49,33,0.5975609756097561,0.4024390243902439,1.723442208198305,1.7115563298490135,2.0,13.0,9.0
11,2010,SJ,82,48,34,0.5853658536585366,0.4146341463414634,1.5172764227642273,1.6986062717770036,3.5,1.0,7.0
21,2010,WSH,82,48,34,0.5853658536585366,0.4146341463414634,1.611788617886179,1.7337398373983746,3.5,7.0,12.0
17,2010,DET,80,46,34,0.575,0.425,1.6309659090909083,1.7047619047619047,5.0,8.0,8.0
2,2010,PHI,82,47,35,0.573170731707317,0.4268292682926829,1.5924796747967471,1.7317073170731714,6.5,2.0,11.0
16,2010,ANA,82,47,35,0.573170731707317,0.4268292682926829,1.6092941611234302,1.839430894308944,6.5,6.0,20.0
44,2010,LA,82,46,36,0.5609756097560976,0.43902439024390244,1.5977457501847734,1.6811846689895482,9.0,3.0,3.0
22,2010,BOS,82,46,36,0.5609756097560976,0.43902439024390244,1.602642276422763,1.6707317073170749,9.0,5.0,1.0
35,2010,TB,82,46,36,0.5609756097560976,0.43902439024390244,1.6328529194382861,1.6962833914053417,9.0,9.0,6.0
6,2010,CHI,81,44,37,0.5432098765432098,0.4567901234567901,1.6962157184379414,1.6810111699000598,11.5,10.0,2.0
39,2010,NSH,81,44,37,0.5432098765432098,0.4567901234567901,1.7116535727646853,1.6895943562610236,11.5,11.0,5.0
25,2010,NYR,82,44,38,0.5365853658536586,0.4634146341463415,1.7138765705838872,1.6820557491289203,13.5,12.0,4.0
0,2010,MTL,82,44,38,0.5365853658536586,0.4634146341463415,1.731337767923134,1.8307200929152145,13.5,14.0,15.0
18,2010,BUF,82,43,39,0.524390243902439,0.47560975609756095,1.7437176644493715,1.840011614401859,15.5,15.0,21.0
23,2010,PHX,82,43,39,0.524390243902439,0.47560975609756095,1.7696784922394677,1.8342044134727065,15.5,19.0,16.0
12,2010,DAL,82,42,40,0.5121951219512195,0.4878048780487805,1.7623798965262372,1.8362369337979092,17.0,18.0,18.0
8,2010,CGY,82,41,41,0.5,0.5,1.7546563192904656,1.8347125435540068,18.0,17.0,17.0
4,2010,CAR,82,40,42,0.4878048780487805,0.5121951219512195,1.7510162601626014,1.8069105691056917,19.0,16.0,14.0
5,2010,MIN,80,38,42,0.475,0.525,1.7878787878787878,1.838392857142857,20.0,21.0,19.0
37,2010,STL,82,38,44,0.4634146341463415,0.5365853658536586,1.7826127124907614,1.8414634146341464,21.0,20.0,22.0
13,2010,NJ,79,36,43,0.45569620253164556,0.5443037974683544,1.8216340621403906,2.0,22.0,22.0,29.0
1,2010,TOR,82,37,45,0.45121951219512196,0.5487804878048781,1.8334257206208426,1.8835656213704988,23.0,23.0,26.0
20,2010,ATL,81,34,47,0.41975308641975306,0.5802469135802469,1.9194077527410858,1.7279247501469732,24.0,27.0,10.0
10,2010,CBJ,82,34,48,0.4146341463414634,0.5853658536585366,1.840077605321506,2.0,25.0,24.0,29.0
19,2010,OTT,82,32,50,0.3902439024390244,0.6097560975609756,1.9369918699186979,1.8487224157955862,26.0,28.0,24.0
51,2010,FLA,80,30,50,0.375,0.625,2.0,1.8755952380952372,27.0,29.5,25.0
7,2010,COL,82,30,52,0.36585365853658536,0.6341463414634146,1.8456919097162987,1.8480255516840878,28.5,25.0,23.0
29,2010,NYI,82,30,52,0.36585365853658536,0.6341463414634146,1.9193316845755866,2.0,28.5,26.0,29.0
9,2010,EDM,80,24,56,0.3,0.7,2.0,1.9276785714285718,30.0,29.5,27.0
