,GD,GameNumber,LossTeam,Season,WinTeam,PlayerNumber,PlayerPosition,TeamCode,GF,GA,Rank,RosterCount,Position,PositionCount,FCount,DCount
0,1,20001,MTL,2010,TOR,11.0,C,MTL,2,3,2,18.0,F,12.0,12.0,6.0
1,1,20001,MTL,2010,TOR,21.0,R,MTL,2,3,1,18.0,F,12.0,12.0,6.0
2,1,20001,MTL,2010,TOR,57.0,L,MTL,2,3,2,18.0,F,12.0,12.0,6.0
3,1,20001,MTL,2010,TOR,26.0,D,MTL,2,3,2,18.0,D,6.0,12.0,6.0
4,1,20001,MTL,2010,TOR,75.0,D,MTL,2,3,2,18.0,D,6.0,12.0,6.0
12,1,20001,MTL,2010,TOR,14.0,C,MTL,2,3,1,18.0,F,12.0,12.0,6.0
13,1,20001,MTL,2010,TOR,81.0,C,MTL,2,3,2,18.0,F,12.0,12.0,6.0
14,1,20001,MTL,2010,TOR,46.0,L,MTL,2,3,2,18.0,F,12.0,12.0,6.0
15,1,20001,MTL,2010,TOR,6.0,D,MTL,2,3,2,18.0,D,6.0,12.0,6.0
16,1,20001,MTL,2010,TOR,76.0,D,MTL,2,3,1,18.0,D,6.0,12.0,6.0
54,1,20001,MTL,2010,TOR,15.0,C,MTL,2,3,2,18.0,F,12.0,12.0,6.0
55,1,20001,MTL,2010,TOR,40.0,C,MTL,2,3,2,18.0,F,12.0,12.0,6.0
56,1,20001,MTL,2010,TOR,52.0,L,MTL,2,3,2,18.0,F,12.0,12.0,6.0
78,1,20001,MTL,2010,TOR,17.0,C,MTL,2,3,2,18.0,F,12.0,12.0,6.0
80,1,20001,MTL,2010,TOR,94.0,C,MTL,2,3,2,18.0,F,12.0,12.0,6.0
81,1,20001,MTL,2010,TOR,20.0,D,MTL,2,3,2,18.0,D,6.0,12.0,6.0
82,1,20001,MTL,2010,TOR,45.0,D,MTL,2,3,2,18.0,D,6.0,12.0,6.0
86,1,20001,MTL,2010,TOR,32.0,L,MTL,2,3,2,18.0,F,12.0,12.0,6.0
1544,-1,20002,PIT,2010,PHI,17.0,C,PHI,3,2,1,18.0,F,12.0,12.0,6.0
1545,-1,20002,PIT,2010,PHI,18.0,C,PHI,3,2,1,18.0,F,12.0,12.0,6.0
1546,-1,20002,PIT,2010,PHI,13.0,L,PHI,3,2,2,18.0,F,12.0,12.0,6.0
1547,-1,20002,PIT,2010,PHI,25.0,D,PHI,3,2,1,18.0,D,6.0,12.0,6.0
1548,-1,20002,PIT,2010,PHI,41.0,D,PHI,3,2,2,18.0,D,6.0,12.0,6.0
1556,-1,20002,PIT,2010,PHI,48.0,C,PHI,3,2,1,18.0,F,12.0,12.0,6.0
1557,-1,20002,PIT,2010,PHI,19.0,L,PHI,3,2,2,18.0,F,12.0,12.0,6.0
1558,-1,20002,PIT,2010,PHI,22.0,L,PHI,3,2,1,18.0,F,12.0,12.0,6.0
1559,-1,20002,PIT,2010,PHI,5.0,D,PHI,3,2,2,18.0,D,6.0,12.0,6.0
1560,-1,20002,PIT,2010,PHI,44.0,D,PHI,3,2,1,18.0,D,6.0,12.0,6.0
1583,-1,20002,PIT,2010,PHI,3.0,D,PHI,3,2,2,18.0,D,6.0,12.0,6.0
1584,-1,20002,PIT,2010,PHI,6.0,D,PHI,3,2,2,18.0,D,6.0,12.0,6.0
1592,-1,20002,PIT,2010,PHI,28.0,R,PHI,3,2,1,18.0,F,12.0,12.0,6.0
1599,-1,20002,PIT,2010,PHI,93.0,R,PHI,3,2,2,18.0,F,12.0,12.0,6.0
1600,-1,20002,PIT,2010,PHI,21.0,L,PHI,3,2,2,18.0,F,12.0,12.0,6.0
1610,-1,20002,PIT,2010,PHI,11.0,C,PHI,3,2,2,18.0,F,12.0,12.0,6.0
1617,-1,20002,PIT,2010,PHI,36.0,C,PHI,3,2,2,18.0,F,12.0,12.0,6.0
1618,-1,20002,PIT,2010,PHI,45.0,L,PHI,3,2,2,18.0,F,12.0,12.0,6.0
3157,-1,20003,MIN,2010,CAR,53.0,C,CAR,4,3,1,18.0,F,12.0,12.0,6.0
3158,-1,20003,MIN,2010,CAR,15.0,R,CAR,4,3,1,18.0,F,12.0,12.0,6.0
3159,-1,20003,MIN,2010,CAR,36.0,L,CAR,4,3,2,18.0,F,12.0,12.0,6.0
3160,-1,20003,MIN,2010,CAR,25.0,D,CAR,4,3,2,18.0,D,6.0,12.0,6.0
3161,-1,20003,MIN,2010,CAR,77.0,D,CAR,4,3,1,18.0,D,6.0,12.0,6.0
3169,-1,20003,MIN,2010,CAR,12.0,C,CAR,4,3,1,18.0,F,12.0,12.0,6.0
3170,-1,20003,MIN,2010,CAR,59.0,R,CAR,4,3,2,18.0,F,12.0,12.0,6.0
3171,-1,20003,MIN,2010,CAR,26.0,L,CAR,4,3,2,18.0,F,12.0,12.0,6.0
3178,-1,20003,MIN,2010,CAR,4.0,D,CAR,4,3,2,18.0,D,6.0,12.0,6.0
3179,-1,20003,MIN,2010,CAR,6.0,D,CAR,4,3,2,18.0,D,6.0,12.0,6.0
3187,-1,20003,MIN,2010,CAR,16.0,C,CAR,4,3,2,18.0,F,12.0,12.0,6.0
3188,-1,20003,MIN,2010,CAR,39.0,R,CAR,4,3,2,18.0,F,12.0,12.0,6.0
3189,-1,20003,MIN,2010,CAR,21.0,L,CAR,4,3,2,18.0,F,12.0,12.0,6.0
3190,-1,20003,MIN,2010,CAR,33.0,D,CAR,4,3,2,18.0,D,6.0,12.0,6.0
3191,-1,20003,MIN,2010,CAR,44.0,D,CAR,4,3,2,18.0,D,6.0,12.0,6.0
3205,-1,20003,MIN,2010,CAR,8.0,C,CAR,4,3,2,18.0,F,12.0,12.0,6.0
3206,-1,20003,MIN,2010,CAR,22.0,C,CAR,4,3,2,18.0,F,12.0,12.0,6.0
3207,-1,20003,MIN,2010,CAR,29.0,R,CAR,4,3,2,18.0,F,12.0,12.0,6.0
4761,1,20004,CHI,2010,COL,19.0,C,CHI,3,4,1,18.0,F,12.0,12.0,6.0
4762,1,20004,CHI,2010,COL,81.0,R,CHI,3,4,1,18.0,F,12.0,12.0,6.0
4763,1,20004,CHI,2010,COL,82.0,R,CHI,3,4,2,18.0,F,12.0,12.0,6.0
4764,1,20004,CHI,2010,COL,2.0,D,CHI,3,4,1,18.0,D,6.0,12.0,6.0
4765,1,20004,CHI,2010,COL,7.0,D,CHI,3,4,1,18.0,D,6.0,12.0,6.0
4773,1,20004,CHI,2010,COL,10.0,R,CHI,3,4,1,18.0,F,12.0,12.0,6.0
4774,1,20004,CHI,2010,COL,15.0,R,CHI,3,4,2,18.0,F,12.0,12.0,6.0
4775,1,20004,CHI,2010,COL,88.0,R,CHI,3,4,1,18.0,F,12.0,12.0,6.0
4776,1,20004,CHI,2010,COL,4.0,D,CHI,3,4,2,18.0,D,6.0,12.0,6.0
4777,1,20004,CHI,2010,COL,8.0,D,CHI,3,4,2,18.0,D,6.0,12.0,6.0
4800,1,20004,CHI,2010,COL,6.0,D,CHI,3,4,2,18.0,D,6.0,12.0,6.0
4801,1,20004,CHI,2010,COL,32.0,D,CHI,3,4,2,18.0,D,6.0,12.0,6.0
4803,1,20004,CHI,2010,COL,36.0,C,CHI,3,4,2,18.0,F,12.0,12.0,6.0
4804,1,20004,CHI,2010,COL,22.0,R,CHI,3,4,2,18.0,F,12.0,12.0,6.0
4805,1,20004,CHI,2010,COL,29.0,L,CHI,3,4,2,18.0,F,12.0,12.0,6.0
4815,1,20004,CHI,2010,COL,28.0,C,CHI,3,4,2,18.0,F,12.0,12.0,6.0
4816,1,20004,CHI,2010,COL,20.0,R,CHI,3,4,2,18.0,F,12.0,12.0,6.0
4817,1,20004,CHI,2010,COL,25.0,L,CHI,3,4,2,18.0,F,12.0,12.0,6.0
6252,4,20005,CGY,2010,EDM,13.0,C,CGY,0,4,1,18.0,F,12.0,12.0,6.0
6253,4,20005,CGY,2010,EDM,12.0,R,CGY,0,4,1,18.0,F,12.0,12.0,6.0
6254,4,20005,CGY,2010,EDM,40.0,L,CGY,0,4,1,18.0,F,12.0,12.0,6.0
6255,4,20005,CGY,2010,EDM,3.0,D,CGY,0,4,2,18.0,D,6.0,12.0,6.0
6256,4,20005,CGY,2010,EDM,28.0,D,CGY,0,4,2,18.0,D,6.0,12.0,6.0
6270,4,20005,CGY,2010,EDM,8.0,C,CGY,0,4,2,18.0,F,12.0,12.0,6.0
6271,4,20005,CGY,2010,EDM,17.0,R,CGY,0,4,2,18.0,F,12.0,12.0,6.0
6272,4,20005,CGY,2010,EDM,10.0,L,CGY,0,4,2,18.0,F,12.0,12.0,6.0
6273,4,20005,CGY,2010,EDM,4.0,D,CGY,0,4,2,18.0,D,6.0,12.0,6.0
6274,4,20005,CGY,2010,EDM,5.0,D,CGY,0,4,1,18.0,D,6.0,12.0,6.0
6280,4,20005,CGY,2010,EDM,7.0,D,CGY,0,4,2,18.0,D,6.0,12.0,6.0
6282,4,20005,CGY,2010,EDM,11.0,C,CGY,0,4,2,18.0,F,12.0,12.0,6.0
6283,4,20005,CGY,2010,EDM,15.0,R,CGY,0,4,2,18.0,F,12.0,12.0,6.0
6284,4,20005,CGY,2010,EDM,20.0,L,CGY,0,4,2,18.0,F,12.0,12.0,6.0
6292,4,20005,CGY,2010,EDM,66.0,D,CGY,0,4,2,18.0,D,6.0,12.0,6.0
6312,4,20005,CGY,2010,EDM,41.0,L,CGY,0,4,2,18.0,F,12.0,12.0,6.0
6313,4,20005,CGY,2010,EDM,42.0,L,CGY,0,4,2,18.0,F,12.0,12.0,6.0
6314,4,20005,CGY,2010,EDM,44.0,L,CGY,0,4,2,18.0,F,12.0,12.0,6.0
8026,-1,20006,CBJ,2010,SJ,19.0,C,SJ,3,2,1,18.0,F,12.0,12.0,6.0
8027,-1,20006,CBJ,2010,SJ,16.0,R,SJ,3,2,2,18.0,F,12.0,12.0,6.0
8028,-1,20006,CBJ,2010,SJ,64.0,L,SJ,3,2,2,18.0,F,12.0,12.0,6.0
8029,-1,20006,CBJ,2010,SJ,3.0,D,SJ,3,2,2,18.0,D,6.0,12.0,6.0
8030,-1,20006,CBJ,2010,SJ,22.0,D,SJ,3,2,1,18.0,D,6.0,12.0,6.0
8050,-1,20006,CBJ,2010,SJ,12.0,C,SJ,3,2,1,18.0,F,12.0,12.0,6.0
8051,-1,20006,CBJ,2010,SJ,39.0,C,SJ,3,2,1,18.0,F,12.0,12.0,6.0
8052,-1,20006,CBJ,2010,SJ,15.0,L,SJ,3,2,1,18.0,F,12.0,12.0,6.0
8053,-1,20006,CBJ,2010,SJ,7.0,D,SJ,3,2,2,18.0,D,6.0,12.0,6.0
8054,-1,20006,CBJ,2010,SJ,44.0,D,SJ,3,2,1,18.0,D,6.0,12.0,6.0
8068,-1,20006,CBJ,2010,SJ,8.0,C,SJ,3,2,1,18.0,F,12.0,12.0,6.0
8069,-1,20006,CBJ,2010,SJ,17.0,C,SJ,3,2,2,18.0,F,12.0,12.0,6.0
8070,-1,20006,CBJ,2010,SJ,29.0,L,SJ,3,2,1,18.0,F,12.0,12.0,6.0
8071,-1,20006,CBJ,2010,SJ,40.0,D,SJ,3,2,2,18.0,D,6.0,12.0,6.0
8072,-1,20006,CBJ,2010,SJ,60.0,D,SJ,3,2,1,18.0,D,6.0,12.0,6.0
8092,-1,20006,CBJ,2010,SJ,21.0,C,SJ,3,2,2,18.0,F,12.0,12.0,6.0
8093,-1,20006,CBJ,2010,SJ,57.0,C,SJ,3,2,2,18.0,F,12.0,12.0,6.0
8094,-1,20006,CBJ,2010,SJ,68.0,L,SJ,3,2,2,18.0,F,12.0,12.0,6.0
10485,1,20008,MIN,2010,CAR,9.0,C,MIN,1,2,1,18.0,F,12.0,12.0,6.0
10486,1,20008,MIN,2010,CAR,20.0,R,MIN,1,2,2,18.0,F,12.0,12.0,6.0
10487,1,20008,MIN,2010,CAR,15.0,L,MIN,1,2,2,18.0,F,12.0,12.0,6.0
10488,1,20008,MIN,2010,CAR,8.0,D,MIN,1,2,1,18.0,D,6.0,12.0,6.0
10489,1,20008,MIN,2010,CAR,55.0,D,MIN,1,2,2,18.0,D,6.0,12.0,6.0
10497,1,20008,MIN,2010,CAR,11.0,C,MIN,1,2,2,18.0,F,12.0,12.0,6.0
10498,1,20008,MIN,2010,CAR,12.0,R,MIN,1,2,2,18.0,F,12.0,12.0,6.0
10499,1,20008,MIN,2010,CAR,23.0,L,MIN,1,2,2,18.0,F,12.0,12.0,6.0
10500,1,20008,MIN,2010,CAR,4.0,D,MIN,1,2,2,18.0,D,6.0,12.0,6.0
10501,1,20008,MIN,2010,CAR,5.0,D,MIN,1,2,2,18.0,D,6.0,12.0,6.0
10510,1,20008,MIN,2010,CAR,22.0,R,MIN,1,2,2,18.0,F,12.0,12.0,6.0
10511,1,20008,MIN,2010,CAR,24.0,R,MIN,1,2,1,18.0,F,12.0,12.0,6.0
10515,1,20008,MIN,2010,CAR,7.0,C,MIN,1,2,2,18.0,F,12.0,12.0,6.0
10524,1,20008,MIN,2010,CAR,25.0,D,MIN,1,2,2,18.0,D,6.0,12.0,6.0
10525,1,20008,MIN,2010,CAR,41.0,D,MIN,1,2,2,18.0,D,6.0,12.0,6.0
10546,1,20008,MIN,2010,CAR,17.0,C,MIN,1,2,2,18.0,F,12.0,12.0,6.0
10552,1,20008,MIN,2010,CAR,21.0,C,MIN,1,2,2,18.0,F,12.0,12.0,6.0
10553,1,20008,MIN,2010,CAR,48.0,L,MIN,1,2,2,18.0,F,12.0,12.0,6.0
12010,4,20009,ANA,2010,DET,11.0,C,ANA,0,4,1,18.0,F,12.0,12.0,6.0
12011,4,20009,ANA,2010,DET,8.0,R,ANA,0,4,1,18.0,F,12.0,12.0,6.0
12012,4,20009,ANA,2010,DET,33.0,L,ANA,0,4,2,18.0,F,12.0,12.0,6.0
12013,4,20009,ANA,2010,DET,23.0,D,ANA,0,4,2,18.0,D,6.0,12.0,6.0
12014,4,20009,ANA,2010,DET,54.0,D,ANA,0,4,1,18.0,D,6.0,12.0,6.0
12028,4,20009,ANA,2010,DET,15.0,C,ANA,0,4,1,18.0,F,12.0,12.0,6.0
12029,4,20009,ANA,2010,DET,9.0,R,ANA,0,4,1,18.0,F,12.0,12.0,6.0
12030,4,20009,ANA,2010,DET,10.0,R,ANA,0,4,1,18.0,F,12.0,12.0,6.0
12043,4,20009,ANA,2010,DET,17.0,D,ANA,0,4,1,18.0,D,6.0,12.0,6.0
12044,4,20009,ANA,2010,DET,25.0,D,ANA,0,4,2,18.0,D,6.0,12.0,6.0
12052,4,20009,ANA,2010,DET,22.0,C,ANA,0,4,2,18.0,F,12.0,12.0,6.0
12053,4,20009,ANA,2010,DET,50.0,R,ANA,0,4,2,18.0,F,12.0,12.0,6.0
12054,4,20009,ANA,2010,DET,39.0,L,ANA,0,4,2,18.0,F,12.0,12.0,6.0
12070,4,20009,ANA,2010,DET,28.0,C,ANA,0,4,2,18.0,F,12.0,12.0,6.0
12071,4,20009,ANA,2010,DET,42.0,R,ANA,0,4,2,18.0,F,12.0,12.0,6.0
12073,4,20009,ANA,2010,DET,21.0,D,ANA,0,4,2,18.0,D,6.0,12.0,6.0
12074,4,20009,ANA,2010,DET,60.0,D,ANA,0,4,2,18.0,D,6.0,12.0,6.0
12077,4,20009,ANA,2010,DET,16.0,R,ANA,0,4,2,18.0,F,12.0,12.0,6.0
13560,-1,20010,OTT,2010,BUF,9.0,C,BUF,2,1,1,18.0,F,12.0,12.0,6.0
13561,-1,20010,OTT,2010,BUF,63.0,C,BUF,2,1,2,18.0,F,12.0,12.0,6.0
13562,-1,20010,OTT,2010,BUF,21.0,R,BUF,2,1,1,18.0,F,12.0,12.0,6.0
13563,-1,20010,OTT,2010,BUF,27.0,D,BUF,2,1,2,18.0,D,6.0,12.0,6.0
13564,-1,20010,OTT,2010,BUF,57.0,D,BUF,2,1,1,18.0,D,6.0,12.0,6.0
13566,-1,20010,OTT,2010,BUF,20.0,C,BUF,2,1,2,18.0,F,12.0,12.0,6.0
13567,-1,20010,OTT,2010,BUF,55.0,C,BUF,2,1,2,18.0,F,12.0,12.0,6.0
13568,-1,20010,OTT,2010,BUF,25.0,R,BUF,2,1,2,18.0,F,12.0,12.0,6.0
13569,-1,20010,OTT,2010,BUF,3.0,D,BUF,2,1,1,18.0,D,6.0,12.0,6.0
13586,-1,20010,OTT,2010,BUF,26.0,L,BUF,2,1,1,18.0,F,12.0,12.0,6.0
13588,-1,20010,OTT,2010,BUF,4.0,D,BUF,2,1,2,18.0,D,6.0,12.0,6.0
13602,-1,20010,OTT,2010,BUF,19.0,C,BUF,2,1,2,18.0,F,12.0,12.0,6.0
13603,-1,20010,OTT,2010,BUF,29.0,R,BUF,2,1,1,18.0,F,12.0,12.0,6.0
13606,-1,20010,OTT,2010,BUF,44.0,D,BUF,2,1,2,18.0,D,6.0,12.0,6.0
13620,-1,20010,OTT,2010,BUF,8.0,C,BUF,2,1,2,18.0,F,12.0,12.0,6.0
13621,-1,20010,OTT,2010,BUF,28.0,C,BUF,2,1,2,18.0,F,12.0,12.0,6.0
13622,-1,20010,OTT,2010,BUF,36.0,R,BUF,2,1,2,18.0,F,12.0,12.0,6.0
13624,-1,20010,OTT,2010,BUF,52.0,D,BUF,2,1,2,18.0,D,6.0,12.0,6.0
16690,-3,20012,BOS,2010,PHX,11.0,C,PHX,5,2,2,18.0,F,12.0,12.0,6.0
16691,-3,20012,BOS,2010,PHX,17.0,R,PHX,5,2,1,18.0,F,12.0,12.0,6.0
16692,-3,20012,BOS,2010,PHX,13.0,L,PHX,5,2,1,18.0,F,12.0,12.0,6.0
16693,-3,20012,BOS,2010,PHX,33.0,D,PHX,5,2,1,18.0,D,6.0,12.0,6.0
16694,-3,20012,BOS,2010,PHX,55.0,D,PHX,5,2,2,18.0,D,6.0,12.0,6.0
16714,-3,20012,BOS,2010,PHX,22.0,R,PHX,5,2,2,18.0,F,12.0,12.0,6.0
16715,-3,20012,BOS,2010,PHX,14.0,L,PHX,5,2,2,18.0,F,12.0,12.0,6.0
16716,-3,20012,BOS,2010,PHX,38.0,L,PHX,5,2,2,18.0,F,12.0,12.0,6.0
16717,-3,20012,BOS,2010,PHX,3.0,D,PHX,5,2,1,18.0,D,6.0,12.0,6.0
16718,-3,20012,BOS,2010,PHX,6.0,D,PHX,5,2,2,18.0,D,6.0,12.0,6.0
16732,-3,20012,BOS,2010,PHX,20.0,C,PHX,5,2,2,18.0,F,12.0,12.0,6.0
16733,-3,20012,BOS,2010,PHX,19.0,R,PHX,5,2,1,18.0,F,12.0,12.0,6.0
16734,-3,20012,BOS,2010,PHX,86.0,L,PHX,5,2,2,18.0,F,12.0,12.0,6.0
16735,-3,20012,BOS,2010,PHX,18.0,D,PHX,5,2,2,18.0,D,6.0,12.0,6.0
16736,-3,20012,BOS,2010,PHX,23.0,D,PHX,5,2,2,18.0,D,6.0,12.0,6.0
16762,-3,20012,BOS,2010,PHX,8.0,R,PHX,5,2,2,18.0,F,12.0,12.0,6.0
16763,-3,20012,BOS,2010,PHX,16.0,R,PHX,5,2,2,18.0,F,12.0,12.0,6.0
16764,-3,20012,BOS,2010,PHX,28.0,L,PHX,5,2,1,18.0,F,12.0,12.0,6.0
18250,-3,20013,BUF,2010,NYR,26.0,C,NYR,6,3,2,18.0,F,12.0,12.0,6.0
18251,-3,20013,BUF,2010,NYR,10.0,R,NYR,6,3,1,18.0,F,12.0,12.0,6.0
18252,-3,20013,BUF,2010,NYR,31.0,L,NYR,6,3,2,18.0,F,12.0,12.0,6.0
18253,-3,20013,BUF,2010,NYR,18.0,D,NYR,6,3,1,18.0,D,6.0,12.0,6.0
18254,-3,20013,BUF,2010,NYR,33.0,D,NYR,6,3,2,18.0,D,6.0,12.0,6.0
18268,-3,20013,BUF,2010,NYR,17.0,C,NYR,6,3,1,18.0,F,12.0,12.0,6.0
18269,-3,20013,BUF,2010,NYR,42.0,C,NYR,6,3,2,18.0,F,12.0,12.0,6.0
18270,-3,20013,BUF,2010,NYR,24.0,R,NYR,6,3,1,18.0,F,12.0,12.0,6.0
18271,-3,20013,BUF,2010,NYR,4.0,D,NYR,6,3,2,18.0,D,6.0,12.0,6.0
18272,-3,20013,BUF,2010,NYR,5.0,D,NYR,6,3,1,18.0,D,6.0,12.0,6.0
18307,-3,20013,BUF,2010,NYR,38.0,D,NYR,6,3,2,18.0,D,6.0,12.0,6.0
18308,-3,20013,BUF,2010,NYR,44.0,D,NYR,6,3,2,18.0,D,6.0,12.0,6.0
18310,-3,20013,BUF,2010,NYR,21.0,C,NYR,6,3,1,18.0,F,12.0,12.0,6.0
18311,-3,20013,BUF,2010,NYR,16.0,L,NYR,6,3,2,18.0,F,12.0,12.0,6.0
18312,-3,20013,BUF,2010,NYR,19.0,L,NYR,6,3,2,18.0,F,12.0,12.0,6.0
18328,-3,20013,BUF,2010,NYR,22.0,C,NYR,6,3,2,18.0,F,12.0,12.0,6.0
18329,-3,20013,BUF,2010,NYR,8.0,L,NYR,6,3,2,18.0,F,12.0,12.0,6.0
18330,-3,20013,BUF,2010,NYR,94.0,L,NYR,6,3,2,18.0,F,12.0,12.0,6.0
19805,4,20014,OTT,2010,TOR,22.0,C,OTT,1,5,2,18.0,F,12.0,12.0,6.0
19806,4,20014,OTT,2010,TOR,25.0,R,OTT,1,5,2,18.0,F,12.0,12.0,6.0
19807,4,20014,OTT,2010,TOR,73.0,L,OTT,1,5,2,18.0,F,12.0,12.0,6.0
19808,4,20014,OTT,2010,TOR,4.0,D,OTT,1,5,2,18.0,D,6.0,12.0,6.0
19809,4,20014,OTT,2010,TOR,65.0,D,OTT,1,5,1,18.0,D,6.0,12.0,6.0
19817,4,20014,OTT,2010,TOR,12.0,C,OTT,1,5,2,18.0,F,12.0,12.0,6.0
19818,4,20014,OTT,2010,TOR,27.0,R,OTT,1,5,2,18.0,F,12.0,12.0,6.0
19820,4,20014,OTT,2010,TOR,14.0,D,OTT,1,5,2,18.0,D,6.0,12.0,6.0
19821,4,20014,OTT,2010,TOR,55.0,D,OTT,1,5,2,18.0,D,6.0,12.0,6.0
19825,4,20014,OTT,2010,TOR,71.0,L,OTT,1,5,2,18.0,F,12.0,12.0,6.0
19841,4,20014,OTT,2010,TOR,19.0,C,OTT,1,5,1,18.0,F,12.0,12.0,6.0
19842,4,20014,OTT,2010,TOR,11.0,R,OTT,1,5,2,18.0,F,12.0,12.0,6.0
19843,4,20014,OTT,2010,TOR,9.0,L,OTT,1,5,2,18.0,F,12.0,12.0,6.0
19883,4,20014,OTT,2010,TOR,13.0,C,OTT,1,5,2,18.0,F,12.0,12.0,6.0
19884,4,20014,OTT,2010,TOR,15.0,C,OTT,1,5,2,18.0,F,12.0,12.0,6.0
19885,4,20014,OTT,2010,TOR,18.0,C,OTT,1,5,2,18.0,F,12.0,12.0,6.0
19886,4,20014,OTT,2010,TOR,5.0,D,OTT,1,5,2,18.0,D,6.0,12.0,6.0
19887,4,20014,OTT,2010,TOR,39.0,D,OTT,1,5,2,18.0,D,6.0,12.0,6.0
21396,-1,20015,NYI,2010,DAL,91.0,C,DAL,5,4,1,18.0,F,12.0,12.0,6.0
21397,-1,20015,NYI,2010,DAL,18.0,L,DAL,5,4,2,18.0,F,12.0,12.0,6.0
21398,-1,20015,NYI,2010,DAL,21.0,L,DAL,5,4,1,18.0,F,12.0,12.0,6.0
21399,-1,20015,NYI,2010,DAL,2.0,D,DAL,5,4,2,18.0,D,6.0,12.0,6.0
21400,-1,20015,NYI,2010,DAL,3.0,D,DAL,5,4,1,18.0,D,6.0,12.0,6.0
21420,-1,20015,NYI,2010,DAL,63.0,C,DAL,5,4,1,18.0,F,12.0,12.0,6.0
21433,-1,20015,NYI,2010,DAL,16.0,R,DAL,5,4,2,18.0,F,12.0,12.0,6.0
21434,-1,20015,NYI,2010,DAL,10.0,L,DAL,5,4,2,18.0,F,12.0,12.0,6.0
21435,-1,20015,NYI,2010,DAL,6.0,D,DAL,5,4,2,18.0,D,6.0,12.0,6.0
21436,-1,20015,NYI,2010,DAL,28.0,D,DAL,5,4,2,18.0,D,6.0,12.0,6.0
21456,-1,20015,NYI,2010,DAL,17.0,C,DAL,5,4,2,18.0,F,12.0,12.0,6.0
21457,-1,20015,NYI,2010,DAL,29.0,C,DAL,5,4,2,18.0,F,12.0,12.0,6.0
21458,-1,20015,NYI,2010,DAL,14.0,L,DAL,5,4,2,18.0,F,12.0,12.0,6.0
21468,-1,20015,NYI,2010,DAL,23.0,C,DAL,5,4,2,18.0,F,12.0,12.0,6.0
